Tue May 24 14:47:35 2011

Number of Points = 8599
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.805782	2.149701	0.000000	0.003600	0.346024

0.647368	2.152730	0.005000	0.003630	0.345900
0.765397	2.103426	0.010000	0.003608	0.345769
0.712724	2.072317	0.015000	0.003618	0.345575
0.704704	2.020306	0.020000	0.003620	0.345322
0.874119	1.936180	0.025000	0.003588	0.345071
0.803755	1.866530	0.030000	0.003602	0.344679
0.850607	1.782635	0.035000	0.003593	0.344321
0.759205	1.692232	0.040000	0.003611	0.343811
0.609563	1.634060	0.045000	0.003639	0.343403
0.726161	1.559323	0.050000	0.003617	0.343149
0.678945	1.494208	0.055000	0.003627	0.342797
0.618145	1.440224	0.060000	0.003638	0.342485
0.583320	1.386176	0.065000	0.003645	0.342196
0.551972	1.325735	0.070000	0.003651	0.341879
0.661061	1.229199	0.075000	0.003631	0.341513
0.558907	1.167793	0.080000	0.003650	0.341128
0.569467	1.108005	0.085000	0.003649	0.340850
0.475232	1.051748	0.090000	0.003667	0.340497
0.402431	0.990552	0.095000	0.003681	0.340138
0.324786	0.963085	0.100000	0.003695	0.339936
0.263702	0.935554	0.105000	0.003707	0.339749
0.323932	0.856698	0.110000	0.003696	0.339422
0.184994	0.834089	0.115000	0.003723	0.339189
0.232011	0.745336	0.120000	0.003714	0.338803
0.256978	0.689430	0.125000	0.003709	0.338554
0.183029	0.648776	0.130000	0.003724	0.338292
0.209948	0.596940	0.135000	0.003719	0.338064
0.270418	0.514037	0.140000	0.003708	0.337717
0.110264	0.485606	0.145000	0.003738	0.337436
0.018939	0.473535	0.150000	0.003755	0.337295
-0.019810	0.419550	0.155000	0.003763	0.336998
0.010521	0.372090	0.160000	0.003758	0.336794
-0.151748	0.373299	0.165000	0.003788	0.336654
-0.268858	0.334912	0.170000	0.003811	0.336362
-0.299760	0.340748	0.175000	0.003817	0.336362
-0.468339	0.370289	0.180000	0.003849	0.336353
-0.538298	0.382993	0.185000	0.003862	0.336351
-0.419021	0.361257	0.190000	0.003840	0.336352
-0.533950	0.383005	0.195000	0.003862	0.336353
-0.644506	0.451617	0.200000	0.003883	0.336586
-0.345990	0.402038	0.205000	0.003827	0.336612
-0.516762	0.381122	0.210000	0.003859	0.336357
-0.666083	0.408692	0.215000	0.003888	0.336356
-0.646923	0.404672	0.220000	0.003884	0.336353
-0.643494	0.405036	0.225000	0.003884	0.336357
-0.735775	0.423697	0.230000	0.003901	0.336364
-0.745789	0.494991	0.235000	0.003903	0.336700
-0.573418	0.442247	0.240000	0.003871	0.336597
-0.707378	0.435356	0.245000	0.003896	0.336443
-0.584439	0.394080	0.250000	0.003873	0.336352
-0.771084	0.428901	0.255000	0.003909	0.336353
-0.596926	0.375624	0.260000	0.003876	0.336249
-0.620054	0.357170	0.265000	0.003881	0.336138
-0.737373	0.377194	0.270000	0.003903	0.336129
-0.635091	0.296234	0.275000	0.003884	0.335827
-0.916997	0.347845	0.280000	0.003937	0.335824
-0.956097	0.354745	0.285000	0.003945	0.335821
-1.046089	0.371846	0.290000	0.003962	0.335823
-1.051772	0.373946	0.295000	0.003964	0.335827
-1.026074	0.369082	0.300000	0.003959	0.335826
-0.911946	0.347353	0.305000	0.003937	0.335821
-0.954561	0.355777	0.310000	0.003946	0.335823
-0.968637	0.338610	0.315000	0.003949	0.335726
-1.084145	0.324394	0.320000	0.003971	0.335552
-1.091153	0.326402	0.325000	0.003972	0.335555
-1.295626	0.364755	0.330000	0.004011	0.335557
-1.340883	0.412892	0.335000	0.004020	0.335750
-1.185303	0.400499	0.340000	0.003990	0.335828
-1.314224	0.423786	0.345000	0.004015	0.335825
-1.089576	0.376110	0.350000	0.003973	0.335794
-1.306017	0.367539	0.355000	0.004014	0.335557
-1.304244	0.373271	0.360000	0.004014	0.335585
-1.391907	0.408442	0.365000	0.004030	0.335677
-1.305077	0.416109	0.370000	0.004014	0.335791
-1.331907	0.373645	0.375000	0.004020	0.335560
-1.444287	0.393619	0.380000	0.004041	0.335555
-1.346882	0.376589	0.385000	0.004023	0.335559
-1.275704	0.364790	0.390000	0.004009	0.335564
-1.416843	0.341844	0.395000	0.004036	0.335325
-1.563281	0.381524	0.400000	0.004064	0.335386
-1.429613	0.365509	0.405000	0.004039	0.335427
-1.562111	0.347025	0.410000	0.004064	0.335217
-1.669475	0.367020	0.415000	0.004085	0.335217
-1.600203	0.354157	0.420000	0.004072	0.335216
-1.755572	0.442693	0.425000	0.004102	0.335506
-1.319027	0.325792	0.430000	0.004019	0.335329
-1.614366	0.357485	0.435000	0.004075	0.335216
-1.585844	0.340074	0.440000	0.004070	0.335156
-1.758060	0.334790	0.445000	0.004103	0.334975
-1.897116	0.392302	0.450000	0.004129	0.335129
-1.793208	0.391416	0.455000	0.004110	0.335217
-1.744384	0.354096	0.460000	0.004101	0.335079
-1.812513	0.387813	0.465000	0.004114	0.335181
-1.980776	0.384815	0.470000	0.004146	0.335014
-1.923539	0.414761	0.475000	0.004135	0.335210
-1.724045	0.367280	0.480000	0.004098	0.335157
-1.850815	0.351149	0.485000	0.004122	0.334964
-2.006501	0.381461	0.490000	0.004151	0.334971
-1.917035	0.365123	0.495000	0.004135	0.334971
-2.058542	0.390852	0.500000	0.004162	0.334968
-1.901217	0.362240	0.505000	0.004132	0.334969
-1.801425	0.307794	0.510000	0.004113	0.334793
-2.186772	0.346501	0.515000	0.004187	0.334633
-2.206793	0.356864	0.520000	0.004190	0.334665
-2.067411	0.382039	0.525000	0.004164	0.334912
-2.150392	0.340810	0.530000	0.004180	0.334636
-2.261587	0.362637	0.535000	0.004201	0.334641
-2.228409	0.405863	0.540000	0.004195	0.334881
