Tue May 24 15:34:58 2011

Number of Points = 8603
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.236071	2.155203	0.000000	0.002935	0.349157

0.206731	2.203032	0.005000	0.002941	0.349355
0.191601	2.240688	0.010000	0.002944	0.349517
0.369686	2.159667	0.015000	0.002911	0.349292
0.459782	2.102608	0.020000	0.002894	0.349102
0.301931	2.092687	0.025000	0.002924	0.348919
0.305682	2.084967	0.030000	0.002923	0.348886
0.118314	2.039406	0.035000	0.002959	0.348510
0.366708	1.992867	0.040000	0.002912	0.348506
0.308494	1.957092	0.045000	0.002923	0.348288
0.312467	1.920647	0.050000	0.002922	0.348120
0.313589	1.876378	0.055000	0.002922	0.347913
0.209185	1.855868	0.060000	0.002942	0.347725
0.204587	1.787703	0.065000	0.002943	0.347401
0.192051	1.760593	0.070000	0.002946	0.347262
0.083702	1.756918	0.075000	0.002966	0.347150
0.197339	1.676576	0.080000	0.002945	0.346870
0.081651	1.659720	0.085000	0.002967	0.346690
0.191446	1.575739	0.090000	0.002946	0.346389
0.188028	1.514562	0.095000	0.002947	0.346097
0.062128	1.495909	0.100000	0.002971	0.345899
0.072718	1.438148	0.105000	0.002969	0.345635
0.002596	1.397194	0.110000	0.002983	0.345380
0.102587	1.320266	0.115000	0.002964	0.345103
0.085653	1.269741	0.120000	0.002967	0.344848
-0.069610	1.227140	0.125000	0.002997	0.344510
-0.126044	1.187613	0.130000	0.003007	0.344273
-0.139686	1.163841	0.135000	0.003010	0.344148
0.015252	1.009785	0.140000	0.002981	0.343552
-0.078040	0.979203	0.145000	0.002999	0.343324
-0.046234	0.904194	0.150000	0.002993	0.342995
-0.114495	0.858661	0.155000	0.003006	0.342717
-0.109393	0.789575	0.160000	0.003005	0.342392
-0.189025	0.750835	0.165000	0.003020	0.342137
-0.177563	0.669501	0.170000	0.003018	0.341758
-0.159661	0.607060	0.175000	0.003015	0.341475
-0.309799	0.564760	0.180000	0.003044	0.341139
-0.381783	0.540352	0.185000	0.003057	0.340958
-0.287128	0.462279	0.190000	0.003040	0.340668
-0.380436	0.433858	0.195000	0.003057	0.340448
-0.451596	0.375885	0.200000	0.003071	0.340107
-0.291782	0.309013	0.205000	0.003041	0.339927
-0.512177	0.273989	0.210000	0.003083	0.339562
-0.667871	0.283979	0.215000	0.003112	0.339472
-0.806696	0.262288	0.220000	0.003139	0.339244
-0.768341	0.255738	0.225000	0.003132	0.339246
-0.643927	0.211452	0.230000	0.003108	0.339142
-0.820942	0.159775	0.235000	0.003142	0.338736
-0.742053	0.145383	0.240000	0.003127	0.338736
-0.721515	0.108645	0.245000	0.003123	0.338577
-0.942970	0.137007	0.250000	0.003165	0.338516
-0.932785	0.136397	0.255000	0.003163	0.338521
-0.950115	0.125005	0.260000	0.003167	0.338450
-0.945966	0.075204	0.265000	0.003166	0.338213
-0.916716	0.065681	0.270000	0.003161	0.338193
-1.089972	0.048667	0.275000	0.003194	0.337956
-1.070572	0.045295	0.280000	0.003190	0.337956
-1.262638	0.082769	0.285000	0.003227	0.337965
-1.202943	0.069217	0.290000	0.003215	0.337953
-1.248563	0.098201	0.295000	0.003224	0.338051
-1.054589	0.042843	0.300000	0.003188	0.337956
-1.237404	0.076363	0.305000	0.003222	0.337955
-1.060672	0.012338	0.310000	0.003189	0.337802
-1.391010	0.034588	0.315000	0.003252	0.337615
-1.457522	0.076821	0.320000	0.003264	0.337759
-1.231365	0.031140	0.325000	0.003222	0.337739
-1.464202	0.049504	0.330000	0.003266	0.337620
-1.431509	0.042678	0.335000	0.003260	0.337616
-1.440211	0.044658	0.340000	0.003261	0.337617
-1.539875	0.063231	0.345000	0.003280	0.337617
-1.550369	0.119223	0.350000	0.003283	0.337878
-1.386277	0.043333	0.355000	0.003252	0.337657
-1.512186	0.057924	0.360000	0.003276	0.337615
-1.580884	0.070318	0.365000	0.003289	0.337613
-1.476064	0.052043	0.370000	0.003269	0.337617
-1.534275	0.049467	0.375000	0.003280	0.337552
-1.611707	0.032069	0.380000	0.003295	0.337398
-1.804689	0.086965	0.385000	0.003331	0.337491
-1.699941	0.093351	0.390000	0.003312	0.337615
-1.524917	0.035601	0.395000	0.003279	0.337491
-1.693250	0.043811	0.400000	0.003311	0.337380
-1.694321	0.043658	0.405000	0.003311	0.337378
-1.598170	-0.001180	0.410000	0.003293	0.337246
-2.083300	0.065115	0.415000	0.003385	0.337133
-1.900699	0.082039	0.420000	0.003350	0.337378
-1.799571	0.063965	0.425000	0.003331	0.337380
-1.739739	0.031644	0.430000	0.003320	0.337277
-1.832149	0.003770	0.435000	0.003338	0.337059
-2.058393	0.045361	0.440000	0.003381	0.337057
-2.014120	0.036971	0.445000	0.003372	0.337056
-2.055923	0.062721	0.450000	0.003380	0.337142
-1.900869	0.048137	0.455000	0.003351	0.337210
-2.136070	0.060144	0.460000	0.003396	0.337057
-2.155100	0.070030	0.465000	0.003400	0.337087
-1.921831	0.044952	0.470000	0.003356	0.337174
-2.113049	0.056912	0.475000	0.003392	0.337060
-2.051972	0.044933	0.480000	0.003380	0.337056
-2.120047	0.058175	0.485000	0.003393	0.337059
-2.217247	0.076446	0.490000	0.003412	0.337060
-2.186329	0.029654	0.495000	0.003406	0.336861
-2.371547	0.100414	0.500000	0.003441	0.337037
-2.032879	0.025720	0.505000	0.003377	0.336978
-2.265075	0.028294	0.510000	0.003421	0.336782
-2.332576	0.040266	0.515000	0.003434	0.336779
-2.324096	0.039420	0.520000	0.003433	0.336782
-2.411766	0.055176	0.525000	0.003449	0.336779
-2.332401	0.041186	0.530000	0.003435	0.336782
-2.323244	0.039145	0.535000	0.003433	0.336780
-2.436363	0.060669	0.540000	0.003454	0.336782
-2.586110	0.072025	0.545000	0.003483	0.336703
-2.422868	0.057690	0.550000	0.003452	0.336779
-2.457092	0.007530	0.555000	0.003459	0.336505
-2.704480	0.080883	0.560000	0.003506	0.336638
-2.408734	0.007006	0.565000	0.003450	0.336544
-2.714530	0.083723	0.570000	0.003508	0.336642
-2.477137	0.001143	0.575000	0.003463	0.336453
-2.730589	0.041033	0.580000	0.003511	0.336419
-2.858189	0.089654	0.585000	0.003535	0.336540
-2.364230	0.010359	0.590000	0.003442	0.336598
-2.858215	0.064655	0.595000	0.003536	0.336418
-2.704195	0.035859	0.600000	0.003507	0.336416
-2.732947	0.041877	0.605000	0.003512	0.336419
-2.857684	0.065243	0.610000	0.003536	0.336420
