Tue May 24 14:34:50 2011

Number of Points = 8586
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.173498	2.174992	0.000000	0.004130	0.343411

1.270598	2.174855	0.005000	0.004111	0.343494
1.131281	2.199813	0.010000	0.004138	0.343489
1.155946	2.197434	0.015000	0.004134	0.343498
1.100710	2.206772	0.020000	0.004144	0.343493
1.078082	2.194970	0.025000	0.004149	0.343416
1.079643	2.164359	0.030000	0.004149	0.343270
1.048674	2.169945	0.035000	0.004155	0.343268
1.124706	2.157035	0.040000	0.004141	0.343273
1.233061	2.079287	0.045000	0.004121	0.342997
1.144051	2.068084	0.050000	0.004138	0.342864
1.107057	2.043557	0.055000	0.004145	0.342713
1.153306	1.975716	0.060000	0.004137	0.342429
1.236818	1.917491	0.065000	0.004121	0.342224
1.093659	1.890523	0.070000	0.004148	0.341968
1.091925	1.830282	0.075000	0.004149	0.341677
1.068290	1.796673	0.080000	0.004154	0.341495
1.179593	1.697849	0.085000	0.004133	0.341119
0.933383	1.706331	0.090000	0.004180	0.340941
1.236322	1.593042	0.095000	0.004123	0.340665
1.059812	1.555488	0.100000	0.004157	0.340327
1.094363	1.474254	0.105000	0.004150	0.339967
1.019152	1.424879	0.110000	0.004165	0.339662
1.150152	1.320662	0.115000	0.004140	0.339275
0.947689	1.245448	0.120000	0.004179	0.338732
1.029218	1.174966	0.125000	0.004164	0.338463
0.900512	1.125906	0.130000	0.004189	0.338111
0.936319	1.053137	0.135000	0.004182	0.337790
0.796912	1.021617	0.140000	0.004209	0.337512
0.901273	0.940330	0.145000	0.004189	0.337210
0.996406	0.844963	0.150000	0.004172	0.336832
0.809828	0.788612	0.155000	0.004207	0.336391
0.854899	0.720054	0.160000	0.004199	0.336097
0.916545	0.624538	0.165000	0.004188	0.335687
0.783367	0.566313	0.170000	0.004213	0.335282
0.783813	0.504915	0.175000	0.004213	0.334982
0.643626	0.447732	0.180000	0.004240	0.334576
0.572466	0.407995	0.185000	0.004254	0.334317
0.682363	0.250722	0.190000	0.004233	0.333646
0.742644	0.171799	0.195000	0.004222	0.333313
0.767904	0.083583	0.200000	0.004218	0.332902
0.719045	-0.003891	0.205000	0.004227	0.332427
0.661724	-0.061542	0.210000	0.004239	0.332091
0.592161	-0.146582	0.215000	0.004252	0.331608
0.645878	-0.238273	0.220000	0.004242	0.331204
0.526165	-0.291290	0.225000	0.004265	0.330832
0.575349	-0.384072	0.230000	0.004256	0.330417
0.448540	-0.442885	0.235000	0.004280	0.330009
0.457307	-0.512526	0.240000	0.004279	0.329671
0.406579	-0.576332	0.245000	0.004289	0.329308
0.214327	-0.620823	0.250000	0.004326	0.328909
0.184468	-0.653726	0.255000	0.004331	0.328717
0.197672	-0.701914	0.260000	0.004329	0.328489
0.089321	-0.728970	0.265000	0.004350	0.328254
-0.270977	-0.688057	0.270000	0.004418	0.328125
-0.613549	-0.588781	0.275000	0.004483	0.328303
-0.850129	-0.487067	0.280000	0.004528	0.328590
-1.264561	-0.300576	0.285000	0.004607	0.329135
-1.705156	-0.042187	0.290000	0.004690	0.330011
-1.692455	0.151481	0.295000	0.004688	0.330978
-1.559877	0.332269	0.300000	0.004663	0.331988
-1.242952	0.420188	0.305000	0.004603	0.332706
-1.043801	0.494066	0.310000	0.004566	0.333247
-0.724128	0.500090	0.315000	0.004506	0.333564
-0.715642	0.512020	0.320000	0.004505	0.333629
-0.493511	0.611328	0.325000	0.004463	0.334314
-0.537044	0.609025	0.330000	0.004471	0.334262
-0.380236	0.485012	0.335000	0.004442	0.333796
-0.449799	0.463093	0.340000	0.004455	0.333625
-0.214861	0.396983	0.345000	0.004411	0.333512
-0.287117	0.375679	0.350000	0.004425	0.333341
-0.397587	0.346741	0.355000	0.004446	0.333098
-0.393936	0.307664	0.360000	0.004446	0.332909
-0.365055	0.263321	0.365000	0.004441	0.332716
-0.517314	0.248250	0.370000	0.004470	0.332503
-0.620422	0.258827	0.375000	0.004490	0.332460
-0.407597	0.180221	0.380000	0.004450	0.332266
-0.522800	0.144676	0.385000	0.004472	0.331985
-0.533605	0.112486	0.390000	0.004474	0.331816
-0.666612	0.106083	0.395000	0.004499	0.331662
-0.663754	0.074257	0.400000	0.004499	0.331507
-0.636166	0.027435	0.405000	0.004494	0.331300
-0.797905	0.053329	0.410000	0.004525	0.331279
-0.848211	0.022348	0.415000	0.004535	0.331079
-0.921718	0.035328	0.420000	0.004549	0.331075
-1.228718	0.100146	0.425000	0.004607	0.331114
-1.274583	0.146574	0.430000	0.004616	0.331300
-1.238760	0.174363	0.435000	0.004610	0.331468
-1.317114	0.228252	0.440000	0.004625	0.331661
-1.147547	0.198006	0.445000	0.004593	0.331665
-1.204573	0.263811	0.450000	0.004604	0.331936
-1.139789	0.253167	0.455000	0.004592	0.331941
-1.165817	0.258121	0.460000	0.004597	0.331940
-1.014425	0.214675	0.465000	0.004569	0.331863
-1.022117	0.176386	0.470000	0.004571	0.331666
-1.034857	0.154876	0.475000	0.004573	0.331547
-1.231688	0.141678	0.480000	0.004611	0.331302
-1.297416	0.152897	0.485000	0.004623	0.331296
-1.303331	0.154459	0.490000	0.004625	0.331297
-1.345259	0.162693	0.495000	0.004633	0.331299
-1.466998	0.184905	0.500000	0.004656	0.331296
-1.341492	0.162550	0.505000	0.004633	0.331299
-1.504550	0.232746	0.510000	0.004664	0.331495
-1.478973	0.262727	0.515000	0.004659	0.331665
-1.450123	0.240874	0.520000	0.004654	0.331582
-1.330562	0.204814	0.525000	0.004632	0.331512
-1.558248	0.203879	0.530000	0.004675	0.331299
-1.577929	0.208049	0.535000	0.004679	0.331300
-1.504443	0.193548	0.540000	0.004665	0.331294
-1.460503	0.186951	0.545000	0.004657	0.331301
-1.565335	0.206513	0.550000	0.004677	0.331300
-1.605862	0.214037	0.555000	0.004685	0.331299
-1.475921	0.164599	0.560000	0.004661	0.331173
-1.618268	0.171994	0.565000	0.004688	0.331078
-1.748846	0.197226	0.570000	0.004713	0.331083
-1.601572	0.169234	0.575000	0.004686	0.331077
-1.718046	0.191404	0.580000	0.004708	0.331079
-1.796893	0.206229	0.585000	0.004723	0.331079
-1.745814	0.178134	0.590000	0.004714	0.330986
-1.950446	0.229455	0.595000	0.004753	0.331052
-1.886733	0.223433	0.600000	0.004741	0.331079
-1.832955	0.213797	0.605000	0.004731	0.331079
-1.932480	0.233139	0.610000	0.004750	0.331082
