Mon Jan 13 16:31:41 2014

Number of Points = 6791
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.796271	2.141360	0.000000	0.001978	0.354405

0.701243	2.214358	0.005005	0.001996	0.354665
0.844150	2.199895	0.010010	0.001969	0.354721
0.899326	2.242836	0.015014	0.001958	0.354970
0.860504	2.249958	0.020019	0.001965	0.354970
0.921288	2.238242	0.025024	0.001954	0.354968
0.959987	2.170561	0.030029	0.001947	0.354684
1.174993	2.120368	0.035034	0.001906	0.354635
0.842059	2.119398	0.040038	0.001969	0.354343
0.967080	2.095869	0.045043	0.001945	0.354340
0.780766	2.130227	0.050048	0.001980	0.354340
1.030175	2.044237	0.055053	0.001933	0.354153
0.876924	2.036179	0.060058	0.001962	0.353983
0.827192	1.990283	0.065062	0.001972	0.353724
0.983857	1.939686	0.070067	0.001942	0.353622
0.995719	1.867973	0.075072	0.001940	0.353295
0.760076	1.865575	0.080077	0.001984	0.353079
0.723650	1.866345	0.085082	0.001991	0.353052
0.737581	1.803137	0.090086	0.001989	0.352766
0.802341	1.775892	0.095091	0.001976	0.352694
0.799499	1.724895	0.100096	0.001977	0.352451
0.918106	1.646816	0.105101	0.001954	0.352186
0.804421	1.592937	0.110106	0.001976	0.351833
0.856462	1.525971	0.115110	0.001966	0.351562
0.803348	1.468793	0.120115	0.001976	0.351245
0.647083	1.428456	0.125120	0.002006	0.350918
0.704772	1.375228	0.130125	0.001995	0.350716
0.819630	1.279605	0.135130	0.001973	0.350363
0.757958	1.230961	0.140134	0.001985	0.350078
0.763548	1.146015	0.145139	0.001984	0.349680
0.647766	1.086903	0.150144	0.002006	0.349297
0.794779	0.982225	0.155149	0.001978	0.348928
0.758787	0.905262	0.160154	0.001985	0.348530
0.659036	0.839834	0.165158	0.002004	0.348130
0.479078	0.795303	0.170163	0.002038	0.347759
0.743696	0.682081	0.175168	0.001988	0.347451
0.654830	0.600513	0.180173	0.002004	0.346982
0.550358	0.539962	0.185178	0.002024	0.346599
0.554798	0.465044	0.190182	0.002023	0.346244
0.518630	0.393594	0.195187	0.002030	0.345869
0.387982	0.344022	0.200192	0.002055	0.345515
0.425387	0.263154	0.205197	0.002048	0.345159
0.386346	0.201942	0.210202	0.002055	0.344829
0.277791	0.167739	0.215206	0.002076	0.344568
0.327930	0.090163	0.220211	0.002066	0.344238
0.347984	0.006812	0.225216	0.002063	0.343853
0.298863	-0.046523	0.230221	0.002072	0.343552
0.143567	-0.095495	0.235226	0.002101	0.343176
-0.170705	-0.069634	0.240230	0.002161	0.343020
-1.081259	0.154518	0.245235	0.002333	0.343293
-0.731490	0.201893	0.250240	0.002267	0.343834
-0.525011	0.222054	0.255245	0.002227	0.344116
-0.461307	0.244016	0.260250	0.002215	0.344279
-0.392382	0.231096	0.265254	0.002202	0.344278
-0.474180	0.246606	0.270259	0.002218	0.344280
-0.388615	0.230681	0.275264	0.002202	0.344279
-0.261921	0.207244	0.280269	0.002178	0.344279
-0.281539	0.210813	0.285274	0.002181	0.344279
-0.233014	0.161744	0.290278	0.002172	0.344085
-0.439147	0.177275	0.295283	0.002211	0.343977
-0.341823	0.159519	0.300288	0.002193	0.343978
-0.326107	0.106833	0.305293	0.002190	0.343737
-0.089906	0.021988	0.310298	0.002145	0.343538
-0.528093	0.064361	0.315302	0.002228	0.343352
-0.536799	0.066203	0.320307	0.002229	0.343353
-0.552784	0.009034	0.325312	0.002232	0.343062
-0.983263	0.130762	0.330317	0.002314	0.343267
-0.776020	0.110929	0.335322	0.002275	0.343356
-0.640692	0.085920	0.340326	0.002249	0.343356
-0.499582	0.059328	0.345331	0.002222	0.343353
-0.692178	0.029862	0.350336	0.002259	0.343039
-0.845354	0.094205	0.355341	0.002288	0.343214
-0.814662	0.050355	0.360346	0.002282	0.343029
-0.887985	0.080146	0.365350	0.002296	0.343108
-0.808675	0.104779	0.370355	0.002281	0.343298
-0.840707	0.054933	0.375360	0.002287	0.343028
-0.893110	0.064829	0.380365	0.002297	0.343029
-1.049030	0.092543	0.385370	0.002326	0.343024
-1.058328	0.153886	0.390374	0.002328	0.343313
-0.621745	0.032799	0.395379	0.002245	0.343117
-0.983566	0.080427	0.400384	0.002314	0.343024
-0.921347	0.063841	0.405389	0.002302	0.343000
-1.157249	0.058485	0.410394	0.002346	0.342763
-1.053849	0.092942	0.415398	0.002327	0.343022
-1.103220	0.049370	0.420403	0.002336	0.342767
-1.215178	0.116977	0.425408	0.002357	0.342995
-0.913820	0.017343	0.430413	0.002300	0.342782
-1.110558	0.038371	0.435418	0.002337	0.342708
-1.321477	0.077167	0.440422	0.002377	0.342707
-1.350862	0.082864	0.445427	0.002383	0.342709
-1.294635	0.072806	0.450432	0.002372	0.342710
-1.247071	0.094013	0.455437	0.002363	0.342856
-1.177323	0.050704	0.460442	0.002350	0.342708
-1.337926	0.080209	0.465446	0.002380	0.342708
-1.455629	0.101939	0.470451	0.002403	0.342708
-1.284718	0.070835	0.475456	0.002370	0.342710
-1.442981	0.099489	0.480461	0.002400	0.342708
-1.309028	0.075183	0.485466	0.002375	0.342710
-1.245694	0.022118	0.490470	0.002363	0.342509
-1.700898	0.109913	0.495475	0.002449	0.342528
-1.409965	0.041114	0.500480	0.002394	0.342454
-1.691751	0.129373	0.505485	0.002447	0.342630
-1.460634	0.053606	0.510490	0.002403	0.342470
-1.581412	0.059938	0.515494	0.002426	0.342392
-1.740636	0.114043	0.520499	0.002456	0.342513
-1.476713	0.082143	0.525504	0.002406	0.342594
-1.734428	0.088160	0.530509	0.002455	0.342393
-1.688219	0.079870	0.535514	0.002446	0.342394
-1.685972	0.079896	0.540518	0.002446	0.342396
-1.792695	0.100488	0.545523	0.002466	0.342401
-1.640249	0.071303	0.550528	0.002437	0.342396
-1.690730	0.080981	0.555533	0.002447	0.342397
-1.568724	0.032558	0.560538	0.002424	0.342272
-2.034814	0.094489	0.565542	0.002512	0.342155
-1.726620	0.076051	0.570547	0.002453	0.342342
-2.171158	0.134800	0.575552	0.002537	0.342229
-1.589668	0.041228	0.580557	0.002427	0.342296
-2.157128	0.128227	0.585562	0.002535	0.342210
-1.756167	0.054729	0.590566	0.002459	0.342212
-2.060696	0.118148	0.595571	0.002516	0.342247
-1.832059	0.045000	0.600576	0.002473	0.342097
-2.047899	0.084544	0.605581	0.002514	0.342096
-2.150011	0.102739	0.610586	0.002533	0.342093
-2.106799	0.094829	0.615590	0.002525	0.342093
-2.042798	0.083477	0.620595	0.002513	0.342095
-2.156132	0.103498	0.625600	0.002534	0.342091
-2.072818	0.087819	0.630605	0.002519	0.342090
-1.970998	0.043112	0.635610	0.002499	0.341964
-2.400099	0.089860	0.640614	0.002580	0.341806
-2.034745	0.048408	0.645619	0.002511	0.341933
-2.523094	0.133711	0.650624	0.002604	0.341910
-2.023688	0.034986	0.655629	0.002509	0.341878
-2.451711	0.123852	0.660634	0.002590	0.341926
-2.237798	0.051973	0.665638	0.002550	0.341768
-2.352618	0.073377	0.670643	0.002571	0.341770
-2.543065	0.108489	0.675648	0.002607	0.341770
-2.374013	0.077156	0.680653	0.002575	0.341769
-2.445071	0.091312	0.685658	0.002589	0.341774
-2.609166	0.134862	0.690662	0.002620	0.341839
-2.148094	0.057170	0.695667	0.002533	0.341875
-2.454274	0.092418	0.700672	0.002590	0.341772
-2.491251	0.051725	0.705677	0.002597	0.341540
-2.576344	0.110059	0.710682	0.002613	0.341748
-2.700272	0.088955	0.715686	0.002637	0.341534
-2.442095	0.083845	0.720691	0.002588	0.341741
-2.931247	0.152080	0.725696	0.002680	0.341634
-2.293835	0.033422	0.730701	0.002560	0.341629
-2.839099	0.134068	0.735706	0.002663	0.341630
-2.723926	0.081320	0.740710	0.002641	0.341476
-2.514094	0.076252	0.745715	0.002602	0.341640
-2.986163	0.123977	0.750720	0.002691	0.341449
-2.705719	0.076300	0.755725	0.002638	0.341469
-2.725171	0.079675	0.760730	0.002641	0.341468
-2.825099	0.097116	0.765734	0.002660	0.341463
-2.628484	0.032859	0.770739	0.002623	0.341327
-3.161788	0.133839	0.775744	0.002724	0.341339
-2.735240	0.046900	0.780749	0.002643	0.341299
-3.002982	0.122306	0.785754	0.002694	0.341426
-3.011182	0.081450	0.790758	0.002695	0.341220
-2.831166	0.089491	0.795763	0.002661	0.341421
-3.296655	0.139605	0.800768	0.002749	0.341247
-2.622289	0.029175	0.805773	0.002622	0.341315
-3.442796	0.176070	0.810778	0.002777	0.341293
-2.734577	0.033877	0.815782	0.002643	0.341237
-3.112231	0.086366	0.820787	0.002714	0.341154
-3.217484	0.106041	0.825792	0.002734	0.341155
-2.929388	0.043966	0.830797	0.002680	0.341112
-3.280527	0.102458	0.835802	0.002746	0.341081
-3.158017	0.058184	0.840806	0.002723	0.340976
-3.280707	0.114078	0.845811	0.002746	0.341138
-3.281044	0.067646	0.850816	0.002746	0.340911
-3.191886	0.093598	0.855821	0.002729	0.341118
-3.674146	0.157705	0.860826	0.002820	0.340997
-2.886910	0.027134	0.865830	0.002672	0.341069
-3.525789	0.104725	0.870835	0.002792	0.340872
-3.442409	0.089598	0.875840	0.002776	0.340874
-3.167007	0.070822	0.880845	0.002724	0.341030
-3.548949	0.108360	0.885850	0.002797	0.340869
-3.359587	0.073851	0.890854	0.002761	0.340872
-3.616551	0.121313	0.895859	0.002809	0.340872
-3.594661	0.117924	0.900864	0.002805	0.340875
-3.433032	0.088385	0.905869	0.002775	0.340877
-3.413505	0.083812	0.910874	0.002771	0.340872
-3.583660	0.115789	0.915878	0.002803	0.340875
-3.503172	0.082366	0.920883	0.002788	0.340785
-3.786086	0.095611	0.925888	0.002841	0.340595
-3.574806	0.109888	0.930893	0.002801	0.340855
-3.788175	0.095709	0.935898	0.002842	0.340593
-3.506244	0.079957	0.940902	0.002788	0.340771
-3.970272	0.131283	0.945907	0.002876	0.340603
-3.315041	0.014538	0.950912	0.002752	0.340624
-3.900598	0.105216	0.955917	0.002863	0.340539
-3.868911	0.098404	0.960922	0.002857	0.340534
-3.712122	0.070256	0.965926	0.002827	0.340538
-3.845395	0.094812	0.970931	0.002852	0.340538
-4.151048	0.102727	0.975936	0.002910	0.340302
-3.794513	0.103409	0.980941	0.002843	0.340626
-4.036014	0.128691	0.985946	0.002888	0.340532
-3.596882	0.008960	0.990950	0.002805	0.340343
-4.135487	0.118336	0.995955	0.002907	0.340392
-3.964060	0.052860	1.000960	0.002875	0.340227
-4.040576	0.087733	1.005965	0.002889	0.340329
-4.325784	0.139524	1.010970	0.002943	0.340325
-3.772729	0.041691	1.015974	0.002838	0.340345
-4.377980	0.162222	1.020979	0.002953	0.340389
-3.905708	0.049907	1.025984	0.002863	0.340266
-4.132789	0.083329	1.030989	0.002906	0.340225
-4.310713	0.117187	1.035994	0.002940	0.340230
-4.066788	0.071647	1.040998	0.002894	0.340227
-4.064722	0.066032	1.046003	0.002893	0.340202
-4.642255	0.147480	1.051008	0.003003	0.340079
-4.012911	0.044435	1.056013	0.002884	0.340143
-4.370181	0.128253	1.061018	0.002951	0.340231
-4.267369	0.055938	1.066022	0.002932	0.339970
-4.273456	0.084921	1.071027	0.002933	0.340106
-4.581423	0.107768	1.076032	0.002991	0.339940
-3.992705	0.021088	1.081037	0.002880	0.340048
-4.743659	0.130872	1.086042	0.003022	0.339907
-4.398443	0.066914	1.091046	0.002956	0.339906
-4.414112	0.070988	1.096051	0.002959	0.339912
-4.576771	0.099902	1.101056	0.002990	0.339907
-4.473434	0.080083	1.106061	0.002970	0.339903
-4.422222	0.067272	1.111066	0.002961	0.339887
-4.886531	0.133468	1.116070	0.003049	0.339791
-4.432870	0.054406	1.121075	0.002963	0.339814
-4.700098	0.122531	1.126080	0.003013	0.339906
-4.581120	0.053388	1.131085	0.002991	0.339676
-4.692656	0.116554	1.136090	0.003012	0.339884
-5.035350	0.149074	1.141094	0.003077	0.339734
-4.465465	0.079518	1.146099	0.002969	0.339908
-4.807719	0.141920	1.151104	0.003033	0.339905
