Mon Jan 13 14:47:02 2014

Number of Points = 6790
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.842435	2.122506	0.000000	0.001913	0.354602

0.841256	2.133743	0.005005	0.001913	0.354654
0.824344	2.136092	0.010010	0.001917	0.354650
0.909513	2.069564	0.015014	0.001901	0.354412
0.736755	2.084313	0.020019	0.001933	0.354332
0.847239	2.064410	0.025024	0.001912	0.354334
0.825374	2.067120	0.030029	0.001916	0.354328
0.762498	2.079124	0.035034	0.001928	0.354330
0.807815	2.013994	0.040038	0.001920	0.354064
0.630174	2.037669	0.045043	0.001953	0.354021
0.799277	2.005620	0.050048	0.001921	0.354018
0.839055	1.959150	0.055053	0.001914	0.353834
0.838522	1.925271	0.060058	0.001914	0.353674
0.953407	1.844117	0.065062	0.001892	0.353393
0.772216	1.808065	0.070067	0.001926	0.353066
0.916807	1.739469	0.075072	0.001899	0.352868
0.761929	1.704818	0.080077	0.001928	0.352571
0.848818	1.625887	0.085082	0.001912	0.352274
0.757436	1.590540	0.090086	0.001929	0.352028
0.684488	1.558995	0.095091	0.001943	0.351815
0.746400	1.484141	0.100096	0.001931	0.351516
0.635663	1.445233	0.105101	0.001952	0.351235
0.586528	1.408288	0.110106	0.001961	0.351017
0.611785	1.367703	0.115110	0.001957	0.350847
0.660574	1.291227	0.120115	0.001947	0.350528
0.679299	1.220925	0.125120	0.001944	0.350211
0.593841	1.168086	0.130125	0.001960	0.349885
0.573547	1.111675	0.135130	0.001964	0.349599
0.608548	1.036166	0.140134	0.001957	0.349271
0.552485	0.978474	0.145139	0.001968	0.348947
0.537849	0.915311	0.150144	0.001971	0.348633
0.648488	0.818202	0.155149	0.001950	0.348267
0.474202	0.774384	0.160154	0.001983	0.347905
0.643755	0.660672	0.165158	0.001951	0.347511
0.580756	0.585246	0.170163	0.001963	0.347094
0.500126	0.506391	0.175168	0.001978	0.346645
0.587497	0.416653	0.180173	0.001961	0.346292
0.492575	0.320375	0.185178	0.001979	0.345746
0.408739	0.267218	0.190182	0.001995	0.345416
0.348203	0.193914	0.195187	0.002007	0.345009
0.394051	0.118855	0.200192	0.001998	0.344688
0.236914	0.064202	0.205197	0.002028	0.344285
0.166314	0.016158	0.210202	0.002041	0.343990
0.158838	-0.037791	0.215206	0.002043	0.343723
0.315802	-0.129594	0.220211	0.002013	0.343419
-0.104432	-0.136146	0.225216	0.002092	0.343012
-0.855848	0.023641	0.230221	0.002234	0.343114
-0.726328	0.099454	0.235226	0.002210	0.343597
-0.571613	0.104035	0.240230	0.002181	0.343757
-0.581433	0.148220	0.245235	0.002182	0.343962
-0.528194	0.172385	0.250240	0.002172	0.344127
-0.403447	0.179103	0.255245	0.002149	0.344270
-0.351437	0.118610	0.260250	0.002139	0.344025
-0.425616	0.120161	0.265254	0.002153	0.343966
-0.400554	0.115786	0.270259	0.002148	0.343967
