Mon Jan 13 15:42:31 2014

Number of Points = 6798
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.911926	2.077598	0.000000	0.001865	0.354623

0.982155	2.027713	0.005005	0.001852	0.354450
1.002053	1.990814	0.010010	0.001848	0.354294
1.020659	1.918743	0.015014	0.001844	0.353972
0.914660	1.883352	0.020019	0.001865	0.353714
1.076987	1.790595	0.025024	0.001834	0.353419
1.077373	1.699790	0.030029	0.001834	0.352992
0.903244	1.656869	0.035034	0.001867	0.352639
0.811253	1.629216	0.040038	0.001884	0.352429
1.025314	1.511185	0.045043	0.001844	0.352058
0.675019	1.524994	0.050048	0.001910	0.351819
0.817664	1.436899	0.055053	0.001883	0.351527
0.767275	1.382487	0.060058	0.001892	0.351225
0.621570	1.349517	0.065062	0.001920	0.350942
0.769465	1.280685	0.070067	0.001892	0.350746
0.759299	1.210615	0.075072	0.001894	0.350405
0.833928	1.117475	0.080077	0.001880	0.350028
0.807555	1.044142	0.085082	0.001885	0.349657
0.656970	0.986479	0.090086	0.001913	0.349250
0.814682	0.880547	0.095091	0.001883	0.348885
0.510309	0.876551	0.100096	0.001941	0.348598
0.518186	0.817454	0.105101	0.001940	0.348323
0.515342	0.751601	0.110106	0.001940	0.348007
0.349995	0.720569	0.115110	0.001971	0.347713
0.545187	0.648144	0.120115	0.001934	0.347539
0.512798	0.584133	0.125120	0.001941	0.347204
0.426601	0.535624	0.130125	0.001957	0.346896
0.586871	0.437405	0.135130	0.001927	0.346567
0.323025	0.403690	0.140134	0.001976	0.346171
0.456530	0.330854	0.145139	0.001951	0.345940
0.359331	0.268955	0.150144	0.001970	0.345556
0.328848	0.210418	0.155149	0.001975	0.345248
0.352863	0.140135	0.160154	0.001971	0.344931
0.259818	0.089425	0.165158	0.001988	0.344604
0.279682	0.021737	0.170163	0.001985	0.344295
0.181654	-0.025941	0.175168	0.002003	0.343977
0.132825	-0.073239	0.180173	0.002012	0.343705
-0.032704	-0.085500	0.185178	0.002044	0.343498
-0.481343	-0.028389	0.190182	0.002128	0.343374
-0.815211	0.126487	0.195187	0.002191	0.343826
-0.550609	0.120056	0.200192	0.002141	0.344031
-0.409665	0.143189	0.205197	0.002115	0.344268
-0.398642	0.141619	0.210202	0.002113	0.344271
-0.283544	0.120287	0.215206	0.002091	0.344270
-0.237485	0.075245	0.220211	0.002082	0.344094
-0.347560	0.068750	0.225216	0.002103	0.343965
-0.268120	0.054711	0.230221	0.002088	0.343968
-0.251987	-0.005590	0.235226	0.002085	0.343691
-0.528173	0.037723	0.240230	0.002137	0.343654
-0.526294	0.037723	0.245235	0.002137	0.343656
-0.419851	0.017971	0.250240	0.002116	0.343656
-0.433310	-0.026423	0.255245	0.002119	0.343429
-0.805951	0.062680	0.260250	0.002189	0.343528
-0.786428	0.085734	0.265254	0.002186	0.343657
-0.708626	0.071964	0.270259	0.002171	0.343660
-0.693410	0.068317	0.275264	0.002168	0.343656
-0.511556	0.034524	0.280269	0.002134	0.343655
-0.583495	0.017579	0.285274	0.002147	0.343509
-0.841960	0.032066	0.290278	0.002196	0.343348
-0.754238	0.072260	0.295283	0.002179	0.343621
-0.858245	0.042611	0.300288	0.002199	0.343385
-0.768145	0.066867	0.305293	0.002182	0.343583
-0.787433	0.021568	0.310298	0.002186	0.343347
-0.947217	0.049463	0.315302	0.002216	0.343339
-0.898429	0.040901	0.320307	0.002206	0.343341
-0.903054	0.042725	0.325312	0.002207	0.343346
-0.806292	0.023994	0.330317	0.002189	0.343342
-0.862105	0.034476	0.335322	0.002199	0.343343
-0.889951	-0.021461	0.340326	0.002205	0.343048
-1.315284	0.100039	0.345331	0.002285	0.343256
-0.857664	0.025284	0.350336	0.002199	0.343303
-1.093940	0.009094	0.355341	0.002243	0.343014
-1.005633	0.031421	0.360346	0.002226	0.343201
-1.190014	0.026858	0.365350	0.002261	0.343014
-1.155097	0.020239	0.370355	0.002255	0.343014
-1.289815	0.044707	0.375360	0.002280	0.343012
-1.170471	0.026392	0.380365	0.002257	0.343030
-1.121272	0.013783	0.385370	0.002248	0.343013
-1.221394	0.032363	0.390374	0.002267	0.343014
-1.154746	0.020235	0.395379	0.002254	0.343015
-1.275558	0.041932	0.400384	0.002277	0.343012
-1.281653	0.027697	0.405389	0.002278	0.342938
-1.542749	0.049063	0.410394	0.002328	0.342808
-1.171324	0.014241	0.415398	0.002257	0.342971
-1.668588	0.090595	0.420403	0.002351	0.342897
-1.287129	0.044712	0.425408	0.002279	0.343016
-1.296271	-0.000772	0.430413	0.002281	0.342787
-1.721618	0.080802	0.435418	0.002361	0.342803
-1.256822	0.019284	0.440422	0.002273	0.342920
-1.657939	0.049293	0.445427	0.002349	0.342707
-1.548315	0.028782	0.450432	0.002328	0.342706
-1.584157	0.069483	0.455437	0.002335	0.342871
-1.505527	0.021131	0.460442	0.002320	0.342707
-1.396536	0.001006	0.465446	0.002300	0.342707
-1.709845	0.034819	0.470451	0.002359	0.342591
-1.588836	0.020708	0.475456	0.002336	0.342631
-2.004199	0.072463	0.480461	0.002414	0.342511
-1.471704	0.012780	0.485466	0.002314	0.342698
-1.783330	0.007641	0.490470	0.002373	0.342394
-1.904278	0.083598	0.495475	0.002395	0.342655
-1.536934	-0.018321	0.500480	0.002326	0.342489
-1.958806	0.039239	0.505485	0.002406	0.342391
-2.078698	0.090482	0.510490	0.002428	0.342532
-1.409835	-0.031830	0.515494	0.002302	0.342538
-2.061107	0.058409	0.520499	0.002425	0.342393
-2.008485	0.048257	0.525504	0.002415	0.342391
-1.940704	0.034947	0.530509	0.002402	0.342387
-1.993919	0.044355	0.535514	0.002412	0.342385
-1.971066	0.039997	0.540518	0.002408	0.342385
-1.776542	0.001229	0.545523	0.002371	0.342371
-2.216977	0.050784	0.550528	0.002454	0.342217
-1.895029	0.007650	0.555533	0.002393	0.342296
-2.289753	0.053790	0.560538	0.002468	0.342167
-1.861640	-0.014389	0.565542	0.002387	0.342219
-2.266314	0.033437	0.570547	0.002463	0.342089
-2.383483	0.058737	0.575552	0.002486	0.342107
-2.092766	0.064129	0.580557	0.002431	0.342394
-2.303794	0.044165	0.585562	0.002470	0.342108
-2.102454	0.051344	0.590566	0.002432	0.342324
-2.342591	0.047435	0.595571	0.002478	0.342090
-2.215048	0.023019	0.600576	0.002454	0.342085
-2.405637	0.059575	0.605581	0.002490	0.342092
-2.456403	0.068347	0.610586	0.002499	0.342090
-2.210898	0.022428	0.615590	0.002453	0.342087
-2.282955	0.035918	0.620595	0.002466	0.342088
-2.440627	0.064884	0.625600	0.002496	0.342087
-2.444503	0.066100	0.630605	0.002497	0.342090
-2.289429	-0.003791	0.635610	0.002467	0.341889
-2.713607	0.064583	0.640614	0.002548	0.341842
-2.371091	0.004208	0.645619	0.002483	0.341855
-2.732683	0.094199	0.650624	0.002551	0.341969
-2.496804	0.018152	0.655629	0.002506	0.341811
-2.624874	0.082661	0.660634	0.002531	0.342010
-2.852714	0.085278	0.665638	0.002574	0.341818
-2.320225	0.016118	0.670643	0.002473	0.341960
-2.968917	0.117570	0.675648	0.002596	0.341871
-2.280539	-0.016437	0.680653	0.002465	0.341837
-2.736730	0.052967	0.685658	0.002552	0.341766
-2.889550	0.054398	0.690662	0.002581	0.341636
-2.559447	0.015150	0.695667	0.002518	0.341741
-2.975755	0.056781	0.700672	0.002597	0.341570
-2.489011	-0.033535	0.705677	0.002505	0.341568
-3.150123	0.086478	0.710682	0.002630	0.341559
-2.793830	0.018017	0.715686	0.002562	0.341545
-2.831613	0.040316	0.720691	0.002569	0.341620
-3.014589	0.041738	0.725696	0.002604	0.341463
-2.826504	0.007035	0.730701	0.002568	0.341463
-3.086826	0.056143	0.735706	0.002618	0.341468
-2.982484	0.036109	0.740710	0.002598	0.341465
-2.836560	0.010151	0.745715	0.002570	0.341470
-3.073327	0.052909	0.750720	0.002615	0.341465
-3.059983	0.002098	0.755725	0.002612	0.341230
-3.197215	0.069974	0.760730	0.002638	0.341437
-3.192158	0.072675	0.765734	0.002637	0.341455
-2.970171	0.013567	0.770739	0.002595	0.341367
-3.474120	0.100029	0.775744	0.002690	0.341336
-3.012305	0.041397	0.780749	0.002603	0.341465
-3.113434	0.041877	0.785754	0.002622	0.341377
-3.503061	0.083595	0.790758	0.002696	0.341230
-2.875938	-0.017798	0.795763	0.002577	0.341300
-3.568465	0.080963	0.800768	0.002708	0.341159
-3.270923	0.025619	0.805773	0.002652	0.341157
-3.267264	0.025600	0.810778	0.002651	0.341160
-3.570086	0.081600	0.815782	0.002708	0.341161
-3.388658	0.047764	0.820787	0.002674	0.341159
-3.348942	0.040151	0.825792	0.002667	0.341158
-3.557496	0.077325	0.830797	0.002706	0.341152
-3.444286	0.056163	0.835802	0.002684	0.341151
-3.293830	0.029496	0.840806	0.002656	0.341156
-3.454845	0.015805	0.845811	0.002686	0.340945
-3.638316	0.074256	0.850816	0.002721	0.341065
-3.402929	-0.001090	0.855821	0.002677	0.340909
-3.611695	0.029533	0.860826	0.002716	0.340871
-3.818176	0.067626	0.865830	0.002755	0.340871
-3.623490	0.032152	0.870835	0.002718	0.340873
-3.681198	0.066825	0.875840	0.002729	0.340991
-3.536276	0.016395	0.880845	0.002702	0.340875
-3.600600	0.028190	0.885850	0.002714	0.340875
-3.775376	0.058797	0.890854	0.002747	0.340867
-3.920177	0.047194	0.895859	0.002774	0.340681
-3.561395	0.012925	0.900864	0.002706	0.340837
-4.210954	0.096781	0.905869	0.002829	0.340661
-3.457785	-0.028254	0.910874	0.002687	0.340729
-4.190950	0.105833	0.915878	0.002825	0.340724
-3.677881	-0.006389	0.920883	0.002728	0.340638
-3.962877	0.062082	0.925888	0.002782	0.340716
-4.195413	0.072265	0.930893	0.002826	0.340556
-3.727089	0.030674	0.935898	0.002737	0.340775
-4.270654	0.101157	0.940902	0.002840	0.340630
-3.645843	-0.005494	0.945907	0.002722	0.340672
-4.167731	0.062681	0.950912	0.002821	0.340535
-4.114805	0.053526	0.955917	0.002810	0.340538
