Mon Jan 13 16:17:10 2014

Number of Points = 6793
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.940145	2.082397	0.000000	0.001868	0.354623

0.890977	2.087723	0.005005	0.001877	0.354606
0.857533	2.035914	0.010010	0.001883	0.354334
0.856530	2.035491	0.015014	0.001883	0.354332
0.829550	1.993056	0.020019	0.001888	0.354109
0.745199	1.990591	0.025024	0.001904	0.354025
0.796254	1.975555	0.030029	0.001895	0.353999
0.711103	1.931456	0.035034	0.001911	0.353718
0.930285	1.879217	0.040038	0.001869	0.353662
0.964522	1.790148	0.045043	0.001863	0.353273
0.932066	1.733485	0.050048	0.001869	0.352979
0.883185	1.670656	0.055053	0.001878	0.352640
0.748380	1.651884	0.060058	0.001904	0.352435
0.897183	1.557630	0.065062	0.001876	0.352120
0.862665	1.485237	0.070067	0.001882	0.351748
0.952929	1.388574	0.075072	0.001865	0.351370
0.940414	1.301396	0.080077	0.001867	0.350946
0.756145	1.242436	0.085082	0.001902	0.350506
0.644409	1.205880	0.090086	0.001923	0.350235
0.751387	1.115189	0.095091	0.001903	0.349898
0.630917	1.076666	0.100096	0.001926	0.349610
0.675656	0.989280	0.105101	0.001917	0.349233
0.660867	0.933611	0.110106	0.001920	0.348955
0.677900	0.848214	0.115110	0.001917	0.348564
0.803602	0.739684	0.120115	0.001893	0.348156
0.580682	0.684090	0.125120	0.001935	0.347695
0.692469	0.582535	0.130125	0.001914	0.347308
0.728083	0.484053	0.135130	0.001908	0.346868
0.541030	0.419730	0.140134	0.001943	0.346394
0.531911	0.346025	0.145139	0.001945	0.346032
0.341710	0.322793	0.150144	0.001981	0.345752
0.357349	0.257823	0.155149	0.001978	0.345453
0.372010	0.193091	0.160154	0.001975	0.345155
0.302043	0.142184	0.165158	0.001988	0.344848
0.268346	0.096016	0.170163	0.001995	0.344595
0.207946	0.041087	0.175168	0.002006	0.344277
0.265666	-0.024929	0.180173	0.001995	0.344009
0.167739	-0.071374	0.185178	0.002014	0.343698
0.131259	-0.116107	0.190182	0.002020	0.343449
0.008094	-0.125285	0.195187	0.002044	0.343295
-0.153999	-0.152641	0.200192	0.002074	0.343017
-1.179252	0.094680	0.205197	0.002268	0.343299
-0.799118	0.145034	0.210202	0.002196	0.343882
-0.821375	0.218078	0.215206	0.002200	0.344216
-0.528145	0.242125	0.220211	0.002145	0.344593
-0.559835	0.250147	0.225216	0.002151	0.344604
-0.394965	0.219522	0.230221	0.002120	0.344603
-0.502377	0.262184	0.235226	0.002140	0.344713
-0.343312	0.212361	0.240230	0.002110	0.344614
-0.463696	0.231685	0.245235	0.002132	0.344601
-0.296252	0.201463	0.250240	0.002101	0.344604
-0.486178	0.236599	0.255245	0.002137	0.344605
-0.408893	0.163660	0.260250	0.002122	0.344322
-0.443886	0.162128	0.265254	0.002129	0.344283
-0.382608	0.140177	0.270259	0.002117	0.344232
-0.292368	0.070334	0.275264	0.002100	0.343975
-0.495764	0.049104	0.280269	0.002138	0.343691
