Mon Jan 13 14:14:48 2014

Number of Points = 6794
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.938433	2.111945	0.000000	0.002722	0.350821

0.913510	2.082284	0.005005	0.002727	0.350659
0.953702	2.051054	0.010010	0.002719	0.350545
0.784687	2.019212	0.015014	0.002751	0.350246
0.808449	2.012196	0.020019	0.002747	0.350233
0.866204	1.955789	0.025024	0.002736	0.350016
0.889164	1.918734	0.030029	0.002732	0.349859
0.769406	1.889608	0.035034	0.002755	0.349616
0.806364	1.831844	0.040038	0.002748	0.349373
0.835376	1.786330	0.045043	0.002742	0.349181
0.762151	1.759747	0.050048	0.002756	0.348990
0.730727	1.703043	0.055053	0.002762	0.348692
0.738732	1.662207	0.060058	0.002761	0.348504
0.696341	1.612437	0.065062	0.002769	0.348229
0.553715	1.597329	0.070067	0.002796	0.348030
0.798214	1.519948	0.075072	0.002750	0.347876
0.909514	1.414174	0.080077	0.002729	0.347468
0.698998	1.370740	0.085082	0.002769	0.347074
0.746802	1.294323	0.090086	0.002760	0.346749
0.701817	1.226775	0.095091	0.002769	0.346385
0.615757	1.188804	0.100096	0.002785	0.346126
0.619365	1.120080	0.105101	0.002785	0.345799
0.542299	1.066283	0.110106	0.002799	0.345471
0.688440	0.974159	0.115110	0.002772	0.345157
0.736113	0.873256	0.120115	0.002763	0.344713
0.638915	0.796030	0.125120	0.002781	0.344254
0.655640	0.705860	0.130125	0.002778	0.343832
0.460583	0.664709	0.135130	0.002815	0.343459
0.638402	0.562061	0.140134	0.002782	0.343120
0.502484	0.488600	0.145139	0.002808	0.342642
0.194919	0.492818	0.150144	0.002866	0.342387
0.161375	0.456284	0.155149	0.002872	0.342179
-0.099229	0.484910	0.160154	0.002922	0.342084
-0.314154	0.526468	0.165158	0.002962	0.342093
-0.353741	0.594348	0.170163	0.002970	0.342387
-0.246553	0.575371	0.175168	0.002950	0.342390
-0.213840	0.569091	0.180173	0.002944	0.342389
-0.215682	0.570110	0.185178	0.002944	0.342392
-0.168425	0.561303	0.190182	0.002935	0.342391
-0.062895	0.541503	0.195187	0.002915	0.342389
-0.063022	0.498752	0.200192	0.002915	0.342181
-0.301117	0.523096	0.205197	0.002961	0.342085
-0.450055	0.550616	0.210202	0.002989	0.342085
-0.398135	0.578906	0.215206	0.002979	0.342269
-0.328978	0.554084	0.220211	0.002966	0.342210
-0.380360	0.538300	0.225216	0.002976	0.342087
-0.567318	0.598383	0.230221	0.003011	0.342211
-0.378154	0.578667	0.235226	0.002976	0.342284
-0.404321	0.542023	0.240230	0.002981	0.342082
-0.465541	0.553603	0.245235	0.002992	0.342083
-0.550250	0.569803	0.250240	0.003008	0.342086
-0.618246	0.582260	0.255245	0.003021	0.342085
-0.412488	0.543956	0.260250	0.002983	0.342083
-0.516453	0.563580	0.265254	0.003002	0.342084
-0.650886	0.588560	0.270259	0.003028	0.342085
-0.565418	0.525910	0.275264	0.003012	0.341857
-0.912766	0.619988	0.280269	0.003077	0.342002
-0.594501	0.579109	0.285274	0.003017	0.342088
-0.655504	0.590364	0.290278	0.003029	0.342088
-0.791311	0.554739	0.295283	0.003055	0.341793
-0.721395	0.588727	0.300288	0.003042	0.342020
-0.928843	0.589759	0.305293	0.003081	0.341839
-0.813627	0.618865	0.310298	0.003059	0.342083
-0.784684	0.565930	0.315302	0.003054	0.341852
-0.890284	0.592492	0.320307	0.003074	0.341886
-0.778623	0.546615	0.325312	0.003053	0.341762
-0.889903	0.567119	0.330317	0.003074	0.341762
-0.901935	0.569086	0.335322	0.003076	0.341760
-0.872959	0.564390	0.340326	0.003071	0.341763
-0.842502	0.510608	0.345331	0.003065	0.341528
-1.225597	0.588695	0.350336	0.003138	0.341564
-0.897571	0.525303	0.355341	0.003076	0.341550
-1.174765	0.558357	0.360346	0.003128	0.341461
-1.212194	0.577633	0.365350	0.003135	0.341521
-0.855208	0.529198	0.370355	0.003068	0.341605
-1.334741	0.588232	0.375360	0.003159	0.341462
-1.168319	0.557406	0.380365	0.003127	0.341461
-1.115553	0.547270	0.385370	0.003117	0.341459
-1.203239	0.563068	0.390374	0.003134	0.341456
-1.183365	0.559550	0.395379	0.003130	0.341457
-1.083521	0.524491	0.400384	0.003112	0.341375
-1.637200	0.607451	0.405389	0.003216	0.341281
-1.171027	0.556701	0.410394	0.003128	0.341453
-1.252764	0.572131	0.415398	0.003144	0.341454
-1.474461	0.557793	0.420403	0.003186	0.341185
-1.305529	0.576553	0.425408	0.003154	0.341427
-1.590037	0.591024	0.430413	0.003208	0.341242
-1.274048	0.555099	0.435418	0.003148	0.341351
-1.663395	0.609371	0.440422	0.003222	0.341265
-1.173170	0.516342	0.445427	0.003129	0.341252
-1.708380	0.594192	0.450432	0.003231	0.341149
-1.611013	0.576660	0.455437	0.003212	0.341151
-1.658087	0.588521	0.460442	0.003221	0.341166
-1.448161	0.599735	0.465446	0.003182	0.341409
-1.572853	0.569985	0.470451	0.003205	0.341152
-1.379386	0.516109	0.475456	0.003169	0.341063
-1.852078	0.584293	0.480461	0.003258	0.340970
-1.528131	0.538531	0.485466	0.003197	0.341038
-2.057856	0.630694	0.490470	0.003297	0.341010
