Mon Jan 13 17:18:33 2014

Number of Points = 6791
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.076665	2.050396	0.000000	0.001419	0.356522

0.942024	2.072873	0.005005	0.001444	0.356511
1.024113	2.028244	0.010010	0.001429	0.356374
1.079773	1.968658	0.015014	0.001418	0.356144
0.979042	1.940040	0.020019	0.001437	0.355924
1.061254	1.881474	0.025024	0.001422	0.355721
0.989491	1.852349	0.030029	0.001435	0.355523
0.972592	1.802868	0.035034	0.001438	0.355278
1.104572	1.710657	0.040038	0.001414	0.354960
0.896470	1.684140	0.045043	0.001453	0.354656
0.888990	1.644064	0.050048	0.001454	0.354462
1.009602	1.557814	0.055053	0.001431	0.354162
1.011936	1.495597	0.060058	0.001431	0.353872
0.924978	1.426489	0.065062	0.001447	0.353472
0.977278	1.355699	0.070067	0.001437	0.353185
0.998866	1.258531	0.075072	0.001433	0.352746
0.973880	1.176080	0.080077	0.001438	0.352336
0.848394	1.124025	0.085082	0.001462	0.351981
0.920461	1.043196	0.090086	0.001448	0.351663
0.884505	0.960364	0.095091	0.001455	0.351240
0.881159	0.868292	0.100096	0.001456	0.350801
0.967183	0.758560	0.105101	0.001439	0.350356
0.853047	0.684011	0.110106	0.001461	0.349903
0.887814	0.586000	0.115110	0.001454	0.349467
0.669870	0.536129	0.120115	0.001496	0.349039
0.841724	0.421877	0.125120	0.001463	0.348646
0.639658	0.381293	0.130125	0.001501	0.348275
0.644979	0.300175	0.135130	0.001500	0.347892
0.608309	0.228017	0.140134	0.001507	0.347515
0.595083	0.159576	0.145139	0.001510	0.347176
0.555776	0.096829	0.150144	0.001517	0.346841
0.685910	-0.028086	0.155149	0.001493	0.346357
0.402452	-0.037205	0.160154	0.001546	0.346063
0.249141	-0.050108	0.165158	0.001575	0.345865
-0.010614	-0.069596	0.170163	0.001624	0.345541
-0.548657	0.099257	0.175168	0.001726	0.345876
-0.371247	0.125964	0.180173	0.001692	0.346162
-0.403876	0.177560	0.185178	0.001698	0.346381
-0.355764	0.196695	0.190182	0.001689	0.346515
