Mon Jan 13 15:05:35 2014

Number of Points = 6792
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.767136	2.161875	0.000000	0.002847	0.350496

0.949697	2.140323	0.005005	0.002813	0.350553
0.909750	2.146911	0.010010	0.002821	0.350549
0.908148	2.108780	0.015014	0.002821	0.350366
0.759692	2.109522	0.020019	0.002849	0.350240
0.624344	2.134441	0.025024	0.002875	0.350239
0.863674	2.089934	0.030029	0.002830	0.350237
0.831040	2.067435	0.035034	0.002836	0.350101
0.736298	2.047039	0.040038	0.002854	0.349921
0.850918	2.025738	0.045043	0.002832	0.349919
0.966766	1.943437	0.050048	0.002811	0.349629
0.829804	1.902314	0.055053	0.002837	0.349313
0.883818	1.847983	0.060058	0.002827	0.349101
0.848574	1.806249	0.065062	0.002833	0.348871
0.812590	1.749385	0.070067	0.002840	0.348568
0.766086	1.714459	0.075072	0.002849	0.348360
0.843539	1.632878	0.080077	0.002835	0.348038
0.825150	1.570524	0.085082	0.002838	0.347724
0.695266	1.528949	0.090086	0.002863	0.347410
0.775870	1.460806	0.095091	0.002848	0.347154
0.631608	1.423428	0.100096	0.002875	0.346847
0.810100	1.336447	0.105101	0.002842	0.346588
0.626777	1.291274	0.110106	0.002876	0.346208
0.764063	1.213878	0.115110	0.002851	0.345957
0.818269	1.107882	0.120115	0.002841	0.345495
0.871331	1.001719	0.125120	0.002831	0.345031
0.675502	0.937458	0.130125	0.002868	0.344546
0.686662	0.851408	0.135130	0.002866	0.344140
0.655815	0.791651	0.140134	0.002872	0.343824
0.717488	0.679623	0.145139	0.002860	0.343336
0.740914	0.574347	0.150144	0.002856	0.342847
0.611007	0.497128	0.155149	0.002881	0.342355
0.560020	0.416658	0.160154	0.002891	0.341918
0.471257	0.368019	0.165158	0.002907	0.341601
0.437896	0.298816	0.170163	0.002914	0.341234
0.461220	0.220829	0.175168	0.002910	0.340874
0.429755	0.141150	0.180173	0.002916	0.340456
0.426591	0.067500	0.185178	0.002916	0.340093
0.154073	0.046539	0.190182	0.002968	0.339744
0.250467	-0.020234	0.195187	0.002950	0.339504
0.088801	-0.036405	0.200192	0.002981	0.339278
-0.112498	-0.058363	0.205197	0.003019	0.338988
-0.864413	0.132838	0.210202	0.003161	0.339245
-0.638434	0.169371	0.215206	0.003118	0.339628
-0.497313	0.200774	0.220211	0.003092	0.339908
-0.428250	0.187725	0.225216	0.003079	0.339906
-0.311504	0.167118	0.230221	0.003057	0.339910
-0.336844	0.172444	0.235226	0.003062	0.339913
-0.247232	0.156141	0.240230	0.003045	0.339914
-0.338799	0.172910	0.245235	0.003062	0.339913
-0.347823	0.174013	0.250240	0.003064	0.339909
-0.364194	0.119640	0.255245	0.003067	0.339628
-0.299985	0.103731	0.260250	0.003055	0.339608
-0.444068	0.130369	0.265254	0.003083	0.339608
-0.425717	0.108033	0.270259	0.003079	0.339514
-0.479164	0.070591	0.275264	0.003090	0.339282
-0.462892	0.067513	0.280269	0.003087	0.339281
-0.549826	0.084021	0.285274	0.003103	0.339283
-0.614133	0.095684	0.290278	0.003115	0.339282
-0.652599	0.101878	0.295283	0.003123	0.339277
-0.918304	0.151830	0.300288	0.003173	0.339281
-0.772998	0.125334	0.305293	0.003146	0.339282
-0.734350	0.118251	0.310298	0.003138	0.339282
-0.785121	0.126832	0.315302	0.003148	0.339277
-0.713627	0.114799	0.320307	0.003135	0.339282
-0.802178	0.130852	0.325312	0.003152	0.339281
-0.610557	0.096232	0.330317	0.003115	0.339284
-0.674744	0.052194	0.335322	0.003128	0.339009
-1.011192	0.106958	0.340326	0.003191	0.338973
-1.003614	0.112078	0.345331	0.003190	0.339004
-0.757468	0.097193	0.350336	0.003144	0.339154
-1.003890	0.106536	0.355341	0.003190	0.338976
-0.963261	0.098829	0.360346	0.003183	0.338975
-1.040781	0.113269	0.365350	0.003198	0.338975
-1.103732	0.125093	0.370355	0.003210	0.338975
-1.093297	0.124043	0.375360	0.003208	0.338979
-1.126266	0.136911	0.380365	0.003214	0.339012
-1.036025	0.117941	0.385370	0.003197	0.339000
-1.180791	0.139756	0.390374	0.003224	0.338976
-1.132665	0.156897	0.395379	0.003215	0.339103
-1.065103	0.117894	0.400384	0.003203	0.338972
-1.044591	0.113995	0.405389	0.003199	0.338971
-1.159388	0.108225	0.410394	0.003221	0.338838
-1.474115	0.156815	0.415398	0.003280	0.338791
-1.119248	0.128767	0.420403	0.003213	0.338975
-1.228102	0.095133	0.425408	0.003234	0.338711
-1.413050	0.162869	0.430413	0.003269	0.338875
-1.235069	0.086789	0.435418	0.003236	0.338662
-1.506683	0.136526	0.440422	0.003287	0.338660
-1.461928	0.178711	0.445427	0.003279	0.338907
-1.228609	0.094404	0.450432	0.003235	0.338704
-1.378179	0.113159	0.455437	0.003263	0.338660
-1.447442	0.126942	0.460442	0.003276	0.338665
-1.500209	0.136552	0.465446	0.003286	0.338664
-1.449831	0.127710	0.470451	0.003277	0.338665
-1.640520	0.105592	0.475456	0.003313	0.338383
-1.531413	0.142929	0.480461	0.003293	0.338665
-1.616618	0.098158	0.485466	0.003309	0.338368
-1.600362	0.132158	0.490470	0.003306	0.338549
-1.607470	0.093672	0.495475	0.003307	0.338353
-1.697019	0.109518	0.500480	0.003324	0.338349
-1.742727	0.118429	0.505485	0.003333	0.338351
-1.700508	0.110612	0.510490	0.003325	0.338350
-1.768742	0.122953	0.515494	0.003338	0.338349
-1.821516	0.134058	0.520499	0.003348	0.338355
-1.765645	0.123218	0.525504	0.003338	0.338352
-1.757147	0.121913	0.530509	0.003336	0.338353
-1.794818	0.128527	0.535514	0.003343	0.338351
-1.687692	0.096464	0.540518	0.003323	0.338290
-2.148836	0.138328	0.545523	0.003411	0.338077
-1.838044	0.137237	0.550528	0.003352	0.338353
-1.894681	0.092056	0.555533	0.003363	0.338079
-2.111928	0.169937	0.560538	0.003404	0.338264
-2.015757	0.124062	0.565542	0.003386	0.338125
-1.926454	0.154190	0.570547	0.003369	0.338354
-2.018364	0.104785	0.575552	0.003387	0.338027
-1.992032	0.099114	0.580557	0.003382	0.338023
-2.302553	0.165277	0.585562	0.003440	0.338066
-2.060974	0.112381	0.590566	0.003395	0.338025
-2.206962	0.138816	0.595571	0.003423	0.338022
-2.291753	0.192611	0.600576	0.003439	0.338209
-1.807297	0.074153	0.605581	0.003347	0.338065
-2.204563	0.138079	0.610586	0.003422	0.338019
-2.513215	0.154137	0.615590	0.003481	0.337817
-2.021750	0.102436	0.620595	0.003388	0.338008
-2.578612	0.188445	0.625600	0.003493	0.337926
-1.954321	0.060194	0.630605	0.003376	0.337861
-2.525468	0.168016	0.635610	0.003484	0.337872
-2.238912	0.085795	0.640614	0.003430	0.337727
-2.436544	0.119553	0.645619	0.003467	0.337714
-2.649856	0.173586	0.650624	0.003507	0.337785
-2.272299	0.107435	0.655629	0.003436	0.337802
-2.596804	0.184706	0.660634	0.003498	0.337887
-2.313604	0.097851	0.665638	0.003444	0.337717
-2.565838	0.143880	0.670643	0.003492	0.337714
-2.679834	0.164282	0.675648	0.003514	0.337710
-2.366859	0.107598	0.680653	0.003455	0.337715
-2.439279	0.110404	0.685658	0.003468	0.337662
-2.834364	0.136946	0.690662	0.003543	0.337434
-2.605220	0.139390	0.695667	0.003500	0.337653
-2.582814	0.140219	0.700672	0.003496	0.337677
-2.663910	0.097236	0.705677	0.003511	0.337391
-2.596001	0.085138	0.710682	0.003498	0.337393
-2.990793	0.157759	0.715686	0.003573	0.337391
-2.847754	0.130626	0.720691	0.003546	0.337387
-2.599819	0.121680	0.725696	0.003499	0.337568
-2.946847	0.148838	0.730701	0.003565	0.337386
-2.705813	0.105035	0.735706	0.003520	0.337389
-2.961574	0.152180	0.740710	0.003568	0.337388
-2.852982	0.132729	0.745715	0.003548	0.337391
-2.798145	0.098576	0.750720	0.003538	0.337272
-3.269561	0.198547	0.755725	0.003627	0.337335
-2.836981	0.129792	0.760730	0.003545	0.337389
-2.633288	0.061229	0.765734	0.003507	0.337236
-3.453889	0.203456	0.770739	0.003662	0.337190
-2.781461	0.083562	0.775744	0.003535	0.337210
-3.318973	0.190645	0.780749	0.003637	0.337249
-2.998343	0.111318	0.785754	0.003576	0.337149
-3.134839	0.159536	0.790758	0.003602	0.337262
-3.298393	0.155935	0.795763	0.003633	0.337095
-2.849226	0.097463	0.800768	0.003548	0.337215
-3.349499	0.163999	0.805773	0.003643	0.337087
-3.204624	0.137101	0.810778	0.003616	0.337086
-3.026443	0.101283	0.815782	0.003582	0.337071
-3.627805	0.186457	0.820787	0.003696	0.336943
-3.094432	0.117511	0.825792	0.003595	0.337088
-3.213600	0.135669	0.830797	0.003618	0.337069
-3.364395	0.101191	0.835802	0.003646	0.336761
-3.556951	0.175911	0.840806	0.003683	0.336954
-3.155971	0.090781	0.845811	0.003607	0.336899
-3.673524	0.172117	0.850816	0.003705	0.336828
-3.200606	0.099491	0.855821	0.003616	0.336900
-3.811547	0.206899	0.860826	0.003731	0.336873
-3.327146	0.116170	0.865830	0.003640	0.336866
-3.645453	0.172386	0.870835	0.003700	0.336853
-3.446276	0.118660	0.875840	0.003663	0.336769
-3.485909	0.125876	0.880845	0.003670	0.336768
-3.702130	0.166472	0.885850	0.003711	0.336771
-3.549058	0.139243	0.890854	0.003682	0.336775
-3.277036	0.070921	0.895859	0.003631	0.336685
-3.884930	0.137853	0.900864	0.003746	0.336461
-3.756515	0.114423	0.905869	0.003722	0.336462
-3.836743	0.174496	0.910874	0.003737	0.336685
-3.687878	0.132239	0.915878	0.003709	0.336612
-3.795184	0.170975	0.920883	0.003729	0.336705
-3.696464	0.104694	0.925888	0.003711	0.336467
-3.759889	0.115144	0.930893	0.003723	0.336460
-3.951347	0.151119	0.935898	0.003759	0.336463
-3.683332	0.101493	0.940902	0.003709	0.336462
-3.817616	0.118231	0.945907	0.003734	0.336422
-4.158253	0.149438	0.950912	0.003799	0.336265
-3.760465	0.100369	0.955917	0.003724	0.336385
-4.299487	0.181975	0.960922	0.003826	0.336296
-3.744170	0.100634	0.965926	0.003721	0.336400
-4.157785	0.170517	0.970931	0.003799	0.336367
-3.874277	0.087580	0.975936	0.003745	0.336216
-4.117730	0.147759	0.980941	0.003792	0.336290
-4.131760	0.122034	0.985946	0.003794	0.336150
-4.059948	0.109506	0.990950	0.003781	0.336153
-4.184461	0.133226	0.995955	0.003805	0.336156
-4.261455	0.147408	1.000960	0.003819	0.336156
-4.246137	0.143158	1.005965	0.003816	0.336148
-4.305759	0.155535	1.010970	0.003828	0.336155
-4.256390	0.146790	1.015974	0.003819	0.336156
-4.084254	0.114415	1.020979	0.003786	0.336152
-4.177429	0.132092	1.025984	0.003804	0.336154
-4.466928	0.148225	1.030989	0.003859	0.335969
-4.175089	0.123935	1.035994	0.003804	0.336115
-4.650365	0.182512	1.040998	0.003894	0.335971
-4.174808	0.111943	1.046003	0.003804	0.336055
-4.690436	0.208034	1.051008	0.003901	0.336059
-4.268401	0.111559	1.056013	0.003822	0.335967
-4.515436	0.184433	1.061018	0.003868	0.336101
-4.612572	0.155390	1.066022	0.003887	0.335868
-4.230171	0.118835	1.071027	0.003815	0.336036
-4.775100	0.185815	1.076032	0.003918	0.335870
-4.531415	0.140576	1.081037	0.003872	0.335868
-4.536896	0.141589	1.086042	0.003873	0.335867
-4.562109	0.146768	1.091046	0.003878	0.335869
-4.539220	0.099457	1.096051	0.003874	0.335656
-4.770584	0.172721	1.101056	0.003917	0.335807
-4.721305	0.117708	1.106061	0.003908	0.335579
-4.579846	0.142137	1.111066	0.003882	0.335828
-4.985914	0.168538	1.116070	0.003958	0.335588
-4.410296	0.080047	1.121075	0.003850	0.335675
-5.131967	0.206550	1.126080	0.003986	0.335641
-4.580661	0.086014	1.131085	0.003882	0.335548
-4.847847	0.133108	1.136090	0.003933	0.335536
-4.949749	0.151946	1.141094	0.003952	0.335536
-4.841769	0.089889	1.146099	0.003932	0.335327
-4.948100	0.152098	1.151104	0.003952	0.335537
-5.130479	0.164644	1.156109	0.003987	0.335432
-4.781630	0.121126	1.161114	0.003921	0.335535
-5.059047	0.145813	1.166118	0.003973	0.335403
-5.001545	0.117568	1.171123	0.003963	0.335315
-5.328237	0.215204	1.176128	0.004024	0.335500
-4.913428	0.131599	1.181133	0.003946	0.335465
-4.909845	0.103603	1.186138	0.003945	0.335329
-5.472884	0.216232	1.191142	0.004052	0.335371
-4.817831	0.086737	1.196147	0.003928	0.335328
-5.400458	0.209632	1.201152	0.004039	0.335404
-5.208579	0.141366	1.206157	0.004002	0.335241
-5.132777	0.154327	1.211162	0.003988	0.335374
-5.498378	0.197917	1.216166	0.004057	0.335255
-4.848569	0.102541	1.221171	0.003935	0.335376
-5.402672	0.174862	1.226176	0.004039	0.335227
-5.378148	0.148181	1.231181	0.004035	0.335117
-5.337212	0.162180	1.236186	0.004027	0.335223
-5.346298	0.163681	1.241190	0.004029	0.335222
-5.329228	0.108349	1.246195	0.004026	0.334962
-5.637663	0.205774	1.251200	0.004084	0.335163
-5.523950	0.197706	1.256205	0.004063	0.335227
-5.291921	0.148135	1.261210	0.004019	0.335193
-5.696508	0.211982	1.266214	0.004096	0.335138
-5.494842	0.168287	1.271219	0.004058	0.335106
-5.403376	0.165499	1.276224	0.004041	0.335175
-5.946293	0.232483	1.281229	0.004143	0.335010
-5.264467	0.134905	1.286234	0.004015	0.335150
-5.897575	0.237298	1.291238	0.004134	0.335078
-5.335679	0.114862	1.296243	0.004028	0.334984
-5.635663	0.153941	1.301248	0.004085	0.334903
-5.602595	0.135261	1.306253	0.004079	0.334840
-5.714679	0.123450	1.311258	0.004100	0.334678
-5.922071	0.198842	1.316262	0.004139	0.334862
-5.687522	0.119920	1.321267	0.004095	0.334684
-5.627442	0.130338	1.326272	0.004084	0.334791
-6.052729	0.169714	1.331277	0.004164	0.334596
-5.729987	0.126317	1.336282	0.004104	0.334676
-5.987691	0.157928	1.341286	0.004152	0.334596
-6.104865	0.198898	1.346291	0.004175	0.334692
-5.496572	0.096148	1.351296	0.004060	0.334739
-6.136848	0.186370	1.356301	0.004181	0.334599
-5.937803	0.149731	1.361306	0.004143	0.334599
-5.909524	0.144145	1.366310	0.004138	0.334597
-6.091082	0.178186	1.371315	0.004173	0.334599
-5.997815	0.116718	1.376320	0.004155	0.334379
-6.144656	0.184507	1.381325	0.004183	0.334580
-6.038488	0.114489	1.386330	0.004163	0.334329
-6.017956	0.133980	1.391334	0.004159	0.334445
-6.476903	0.196510	1.396339	0.004246	0.334334
-5.855532	0.107936	1.401344	0.004129	0.334463
-6.457223	0.206012	1.406349	0.004242	0.334398
-6.016035	0.104703	1.411354	0.004159	0.334299
-6.273200	0.146820	1.416358	0.004208	0.334272
-6.560967	0.200402	1.421363	0.004262	0.334274
-6.127660	0.131123	1.426368	0.004181	0.334326
-6.319147	0.155615	1.431373	0.004217	0.334272
-6.416086	0.173825	1.436378	0.004235	0.334273
-6.218905	0.137191	1.441382	0.004198	0.334271
-6.496088	0.188710	1.446387	0.004251	0.334273
-6.359514	0.148188	1.451392	0.004225	0.334196
-6.559107	0.200615	1.456397	0.004263	0.334273
-6.383269	0.159659	1.461402	0.004230	0.334230
-6.722943	0.199267	1.466406	0.004294	0.334115
-6.264062	0.134978	1.471411	0.004207	0.334216
-6.824034	0.205892	1.476416	0.004313	0.334054
-6.283653	0.118296	1.481421	0.004211	0.334114
-6.826116	0.189006	1.486426	0.004314	0.333967
