Mon Jan 13 14:34:04 2014

Number of Points = 6793
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.655120	2.047691	0.000000	0.001083	0.358038

0.630485	2.055590	0.005005	0.001088	0.358053
0.560334	2.070365	0.010010	0.001101	0.358061
0.588899	2.065855	0.015014	0.001096	0.358064
0.595304	2.064120	0.020019	0.001095	0.358061
0.691140	2.046224	0.025024	0.001077	0.358060
0.674640	2.008373	0.030029	0.001080	0.357870
0.789724	1.960098	0.035034	0.001058	0.357743
0.768871	1.897529	0.040038	0.001062	0.357434
0.576174	1.885546	0.045043	0.001099	0.357213
0.656964	1.852730	0.050048	0.001084	0.357129
0.666021	1.789410	0.055053	0.001082	0.356842
0.557086	1.767733	0.060058	0.001103	0.356647
0.704872	1.696866	0.065062	0.001075	0.356443
0.757524	1.617927	0.070067	0.001065	0.356119
0.760078	1.546540	0.075072	0.001065	0.355788
0.686837	1.480427	0.080077	0.001079	0.355415
0.605661	1.430397	0.085082	0.001094	0.355111
0.642140	1.354709	0.090086	0.001088	0.354787
0.688536	1.273879	0.095091	0.001079	0.354448
0.657650	1.194070	0.100096	0.001085	0.354047
0.590739	1.116905	0.105101	0.001098	0.353626
0.511102	1.070251	0.110106	0.001113	0.353337
0.543145	0.986302	0.115110	0.001107	0.352969
0.476540	0.921622	0.120115	0.001120	0.352606
0.484724	0.846610	0.125120	0.001118	0.352259
0.497445	0.768599	0.130125	0.001116	0.351902
0.414741	0.707532	0.135130	0.001132	0.351540
0.432942	0.622843	0.140134	0.001129	0.351155
0.371096	0.553956	0.145139	0.001140	0.350775
0.279425	0.507793	0.150144	0.001158	0.350475
0.264953	0.443662	0.155149	0.001161	0.350158
0.238550	0.384939	0.160154	0.001166	0.349855
0.325696	0.288305	0.165158	0.001150	0.349472
0.201410	0.239577	0.170163	0.001173	0.349131
0.150709	0.190323	0.175168	0.001183	0.348851
0.007102	0.171723	0.180173	0.001210	0.348636
0.071659	0.101021	0.185178	0.001198	0.348355
0.217708	-0.006913	0.190182	0.001171	0.347968
-0.024823	-0.017939	0.195187	0.001217	0.347701
-0.039903	-0.078075	0.200192	0.001220	0.347400
0.066527	-0.138690	0.205197	0.001200	0.347203
-0.093113	-0.192668	0.210202	0.001230	0.346803
-0.251775	-0.189284	0.215206	0.001260	0.346678
-0.344387	-0.215869	0.220211	0.001278	0.346469
-0.503762	-0.187090	0.225216	0.001308	0.346465
-0.468028	-0.194016	0.230221	0.001301	0.346463
-0.535606	-0.181171	0.235226	0.001314	0.346464
-0.688894	-0.152848	0.240230	0.001343	0.346464
-0.777668	-0.137130	0.245235	0.001360	0.346461
-0.781702	-0.077710	0.250240	0.001361	0.346741
-0.821618	-0.065682	0.255245	0.001368	0.346763
-0.704870	-0.085473	0.260250	0.001346	0.346771
-0.754668	-0.077605	0.265254	0.001356	0.346765
-0.729665	-0.066278	0.270259	0.001351	0.346840
-0.555787	-0.108815	0.275264	0.001319	0.346790
-0.775782	-0.072782	0.280269	0.001360	0.346768
-0.704197	-0.085748	0.285274	0.001347	0.346768
-0.753341	-0.076617	0.290278	0.001356	0.346768
-0.715462	-0.121935	0.295283	0.001349	0.346584
-0.675336	-0.154353	0.300288	0.001342	0.346464
-0.773980	-0.137029	0.305293	0.001360	0.346459
-0.940785	-0.148964	0.310298	0.001392	0.346254
-1.234453	-0.050390	0.315302	0.001448	0.346466
-1.104786	-0.064739	0.320307	0.001423	0.346512
-0.922259	-0.058873	0.325312	0.001389	0.346701
-0.832029	-0.124027	0.330317	0.001372	0.346468
-0.878405	-0.135078	0.335322	0.001381	0.346373
-1.216153	-0.056373	0.340326	0.001445	0.346451
-0.969710	-0.098404	0.345331	0.001398	0.346467
-1.038638	-0.141231	0.350336	0.001411	0.346200
-1.336844	-0.066219	0.355341	0.001468	0.346296
-0.965748	-0.120477	0.360346	0.001398	0.346364
-1.256129	-0.110196	0.365350	0.001453	0.346155
-1.183112	-0.087709	0.370355	0.001439	0.346328
-1.133955	-0.132076	0.375360	0.001430	0.346158
-1.220347	-0.116280	0.380365	0.001446	0.346157
-1.340529	-0.094576	0.385370	0.001469	0.346154
-1.335674	-0.095155	0.390374	0.001468	0.346155
-1.366685	-0.089202	0.395379	0.001474	0.346156
-1.334413	-0.094790	0.400384	0.001468	0.346157
-1.325750	-0.096014	0.405389	0.001467	0.346158
-1.511067	-0.062936	0.410394	0.001502	0.346152
-1.349967	-0.091957	0.415398	0.001471	0.346155
-1.355036	-0.094972	0.420403	0.001472	0.346136
-1.663521	-0.067845	0.425408	0.001531	0.345992
-1.445231	-0.073550	0.430413	0.001490	0.346158
-1.464966	-0.070335	0.435418	0.001494	0.346156
-1.551472	-0.115136	0.440422	0.001510	0.345863
-1.642865	-0.099173	0.445427	0.001527	0.345858
-1.649903	-0.043520	0.450432	0.001529	0.346119
-1.447129	-0.127571	0.455437	0.001491	0.345895
-1.783585	-0.072700	0.460442	0.001554	0.345860
-1.768351	-0.067166	0.465446	0.001552	0.345899
-1.800332	-0.062115	0.470451	0.001558	0.345895
-1.563196	-0.077944	0.475456	0.001513	0.346028
-1.930749	-0.036841	0.480461	0.001583	0.345900
-1.542186	-0.104731	0.485466	0.001509	0.345917
-1.681375	-0.090301	0.490470	0.001536	0.345863
-1.767613	-0.125126	0.495475	0.001552	0.345619
-2.095770	-0.032157	0.500480	0.001614	0.345774
-1.824716	-0.064011	0.505485	0.001563	0.345861
-1.730535	-0.112504	0.510490	0.001545	0.345711
-2.167144	-0.031409	0.515494	0.001628	0.345713
-1.727128	-0.112828	0.520499	0.001545	0.345711
-2.067583	-0.089659	0.525504	0.001609	0.345520
-2.043086	-0.092507	0.530509	0.001605	0.345528
-1.956681	-0.108711	0.535514	0.001589	0.345526
-2.204111	-0.062504	0.540518	0.001635	0.345528
-2.054727	-0.090436	0.545523	0.001607	0.345526
-1.961511	-0.107653	0.550528	0.001590	0.345526
-1.994245	-0.101075	0.555533	0.001596	0.345528
-2.222227	-0.076005	0.560538	0.001639	0.345446
-2.014186	-0.116064	0.565542	0.001600	0.345437
-2.487556	-0.058079	0.570547	0.001690	0.345295
-1.971540	-0.128140	0.575552	0.001592	0.345416
-2.464065	-0.063835	0.580557	0.001685	0.345288
-2.171858	-0.106222	0.585562	0.001630	0.345343
-2.514033	-0.030653	0.590566	0.001695	0.345402
-2.169183	-0.114640	0.595571	0.001630	0.345304
-2.315058	-0.071662	0.600576	0.001658	0.345380
-2.197428	-0.135570	0.605581	0.001635	0.345177
-2.415444	-0.087009	0.610586	0.001677	0.345217
-2.515824	-0.068908	0.615590	0.001696	0.345214
-2.510981	-0.070133	0.620595	0.001695	0.345212
-2.454024	-0.080381	0.625600	0.001684	0.345213
-2.394558	-0.101316	0.630605	0.001673	0.345164
-2.816346	-0.058259	0.635610	0.001753	0.344997
-2.459087	-0.078773	0.640614	0.001686	0.345215
-2.512001	-0.069262	0.645619	0.001696	0.345213
-2.648394	-0.105922	0.650624	0.001722	0.344915
-2.564714	-0.068865	0.655629	0.001706	0.345167
-2.917307	-0.042170	0.660634	0.001773	0.344982
-2.432364	-0.097106	0.665638	0.001681	0.345148
-2.994330	-0.014967	0.670643	0.001787	0.345044
-2.510173	-0.102019	0.675648	0.001696	0.345054
-2.840185	-0.039965	0.680653	0.001758	0.345059
-2.676138	-0.104061	0.685658	0.001727	0.344896
-2.826549	-0.075935	0.690662	0.001756	0.344897
-2.882120	-0.065913	0.695667	0.001767	0.344896
-2.688522	-0.101491	0.700672	0.001730	0.344896
-2.703128	-0.113265	0.705677	0.001733	0.344826
-3.082577	-0.081597	0.710682	0.001805	0.344640
-2.884276	-0.069663	0.715686	0.001767	0.344874
-3.068939	-0.087304	0.720691	0.001802	0.344624
-2.781567	-0.096416	0.725696	0.001748	0.344835
-3.037241	-0.099522	0.730701	0.001797	0.344593
-3.073335	-0.092410	0.735706	0.001804	0.344594
-3.085325	-0.090003	0.740710	0.001806	0.344595
-3.167702	-0.074473	0.745715	0.001822	0.344596
-3.048226	-0.096701	0.750720	0.001799	0.344595
-3.087354	-0.089623	0.755725	0.001807	0.344593
-3.071341	-0.091796	0.760730	0.001804	0.344597
-2.971902	-0.134372	0.765734	0.001785	0.344479
-3.359420	-0.106385	0.770739	0.001858	0.344269
-3.353211	-0.087745	0.775744	0.001857	0.344364
-3.041469	-0.110819	0.780749	0.001798	0.344530
-3.413109	-0.096789	0.785754	0.001869	0.344266
-3.235820	-0.129069	0.790758	0.001835	0.344268
-3.409485	-0.096600	0.795763	0.001868	0.344269
-3.475519	-0.064187	0.800768	0.001881	0.344367
-3.193688	-0.130183	0.805773	0.001828	0.344299
-3.295015	-0.118521	0.810778	0.001847	0.344264
-3.517530	-0.077056	0.815782	0.001889	0.344266
-3.404789	-0.096849	0.820787	0.001868	0.344270
-3.213953	-0.159100	0.825792	0.001832	0.344139
-3.746541	-0.097146	0.830797	0.001933	0.343963
-3.666593	-0.073579	0.835802	0.001918	0.344148
-3.411633	-0.108309	0.840806	0.001870	0.344207
-3.768063	-0.064443	0.845811	0.001937	0.344101
-3.427023	-0.127713	0.850816	0.001873	0.344099
-3.777599	-0.054591	0.855821	0.001939	0.344139
-3.636173	-0.109561	0.860826	0.001912	0.343999
-3.671292	-0.069929	0.865830	0.001919	0.344159
-3.756961	-0.094701	0.870835	0.001935	0.343962
-3.708741	-0.103734	0.875840	0.001926	0.343961
-3.908362	-0.027127	0.880845	0.001964	0.344153
-3.673271	-0.101147	0.885850	0.001920	0.344004
-3.831600	-0.079959	0.890854	0.001950	0.343965
-3.835443	-0.079545	0.895859	0.001951	0.343963
-3.783210	-0.089330	0.900864	0.001941	0.343962
-3.804436	-0.084375	0.905869	0.001945	0.343967
-3.746232	-0.125692	0.910874	0.001934	0.343818
-4.130526	-0.070995	0.915878	0.002007	0.343739
-3.699307	-0.141524	0.920883	0.001926	0.343783
-4.254014	-0.039430	0.925888	0.002030	0.343781
-3.806764	-0.129946	0.930893	0.001946	0.343742
-4.036361	-0.106266	0.935898	0.001990	0.343651
-4.106362	-0.093048	0.940902	0.002003	0.343652
-3.941360	-0.123771	0.945907	0.001972	0.343650
-3.988600	-0.136299	0.950912	0.001981	0.343547
-4.431672	-0.071438	0.955917	0.002065	0.343465
-4.107157	-0.093596	0.960922	0.002003	0.343647
-4.064798	-0.101515	0.965926	0.001995	0.343646
-4.569064	-0.045055	0.970931	0.002091	0.343469
-4.068316	-0.100369	0.975936	0.001996	0.343647
-4.267684	-0.063473	0.980941	0.002034	0.343648
-4.259336	-0.079892	0.985946	0.002033	0.343575
-4.035381	-0.144538	0.990950	0.001990	0.343462
-4.548725	-0.074586	0.995955	0.002088	0.343342
-4.480974	-0.081720	1.000960	0.002075	0.343367
-4.064109	-0.122941	1.005965	0.001996	0.343539
-4.659186	-0.055054	1.010970	0.002109	0.343336
-4.526735	-0.078974	1.015974	0.002084	0.343338
-4.293824	-0.082678	1.020979	0.002040	0.343528
-4.578811	-0.070340	1.025984	0.002094	0.343333
-4.426757	-0.098429	1.030989	0.002065	0.343332
-4.415512	-0.100599	1.035994	0.002063	0.343331
-4.488517	-0.105030	1.040998	0.002077	0.343244
-4.936792	-0.043675	1.046003	0.002162	0.343140
-4.342915	-0.112737	1.051008	0.002050	0.343336
-4.751452	-0.066548	1.056013	0.002127	0.343194
-4.551189	-0.115492	1.061018	0.002089	0.343135
-4.784254	-0.048215	1.066022	0.002133	0.343252
-4.676556	-0.107922	1.071027	0.002113	0.343059
-4.804199	-0.038751	1.076032	0.002137	0.343280
-4.707967	-0.107102	1.081037	0.002119	0.343034
-4.763587	-0.102638	1.086042	0.002130	0.343005
-4.786767	-0.097672	1.091046	0.002134	0.343008
-4.689334	-0.116005	1.096051	0.002116	0.343006
-4.806222	-0.104633	1.101056	0.002138	0.342956
-4.935650	-0.071541	1.106061	0.002163	0.343001
-4.792123	-0.106697	1.111066	0.002136	0.342958
-5.041541	-0.114813	1.116070	0.002183	0.342695
-5.113976	-0.083175	1.121075	0.002197	0.342783
-4.876160	-0.092027	1.126080	0.002152	0.342953
-5.190605	-0.065019	1.131085	0.002212	0.342802
-4.707269	-0.135595	1.136090	0.002120	0.342892
-5.444628	-0.013864	1.141094	0.002260	0.342822
-4.793361	-0.140142	1.146099	0.002137	0.342792
-5.228552	-0.079470	1.151104	0.002219	0.342696
-5.288204	-0.067353	1.156109	0.002230	0.342701
-5.024152	-0.088927	1.161114	0.002181	0.342832
-5.134492	-0.096777	1.166118	0.002202	0.342695
-5.065432	-0.109654	1.171123	0.002189	0.342694
-5.234112	-0.078254	1.176128	0.002221	0.342695
-5.210782	-0.124924	1.181133	0.002216	0.342489
-5.393616	-0.075988	1.186138	0.002251	0.342562
-5.054495	-0.163091	1.191142	0.002187	0.342442
-5.514101	-0.091850	1.196147	0.002274	0.342376
-5.403126	-0.112026	1.201152	0.002253	0.342377
-5.315404	-0.128998	1.206157	0.002237	0.342373
-5.466784	-0.100151	1.211162	0.002265	0.342377
-5.504231	-0.094655	1.216166	0.002273	0.342370
