Mon Jan 13 16:02:32 2014

Number of Points = 6789
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.236498	2.040297	0.000000	0.001897	0.354300

1.143598	2.064171	0.005005	0.001914	0.354332
1.189871	2.055337	0.010010	0.001905	0.354331
1.052553	2.081301	0.015014	0.001931	0.354334
1.103759	2.019596	0.020019	0.001922	0.354089
1.178849	1.991454	0.025024	0.001907	0.354022
1.230251	1.963508	0.030029	0.001898	0.353935
1.164741	1.928590	0.035034	0.001910	0.353714
1.151625	1.878847	0.040038	0.001913	0.353469
1.158435	1.844513	0.045043	0.001911	0.353314
1.129945	1.798373	0.050048	0.001917	0.353072
1.115635	1.756016	0.055053	0.001919	0.352860
0.945560	1.766699	0.060058	0.001952	0.352762
1.092999	1.695714	0.065062	0.001924	0.352556
1.084844	1.635952	0.070067	0.001925	0.352267
1.019325	1.619196	0.075072	0.001938	0.352131
1.143201	1.529673	0.080077	0.001914	0.351816
1.030418	1.487217	0.085082	0.001936	0.351517
0.990360	1.436529	0.090086	0.001943	0.351243
0.912802	1.389059	0.095091	0.001958	0.350950
1.017511	1.330968	0.100096	0.001938	0.350767
0.871958	1.305452	0.105101	0.001966	0.350518
0.844879	1.251463	0.110106	0.001971	0.350239
0.867747	1.201089	0.115110	0.001966	0.350020
0.856790	1.146098	0.120115	0.001969	0.349749
0.872687	1.086921	0.125120	0.001966	0.349481
0.826587	1.031601	0.130125	0.001974	0.349178
0.918934	0.946520	0.135130	0.001957	0.348854
0.891410	0.877464	0.140134	0.001962	0.348500
0.874340	0.806523	0.145139	0.001965	0.348147
0.930292	0.708947	0.150144	0.001955	0.347730
0.729282	0.670548	0.155149	0.001993	0.347369
0.651881	0.628141	0.160154	0.002007	0.347098
0.764412	0.537469	0.165158	0.001986	0.346763
0.706173	0.470971	0.170163	0.001997	0.346393
0.612381	0.433641	0.175168	0.002015	0.346130
0.753000	0.335234	0.180173	0.001988	0.345782
0.681712	0.267421	0.185178	0.002002	0.345393
0.490336	0.236909	0.190182	0.002038	0.345076
0.522931	0.169011	0.195187	0.002032	0.344778
0.703403	0.066340	0.200192	0.001998	0.344443
0.695110	-0.026677	0.205197	0.002000	0.343987
0.503366	-0.082602	0.210202	0.002036	0.343545
0.104040	-0.049961	0.215206	0.002111	0.343347
-0.386192	0.050243	0.220211	0.002204	0.343394
-0.310022	0.090347	0.225216	0.002190	0.343656
-0.272896	0.125359	0.230221	0.002182	0.343859
-0.273155	0.148289	0.235226	0.002183	0.343969
