Mon Jan 13 16:45:19 2014

Number of Points = 6798
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.794720	2.106644	0.000000	0.001966	0.354299

0.819063	2.111296	0.005005	0.001961	0.354342
0.818475	2.053882	0.010010	0.001962	0.354073
0.828317	2.043392	0.015014	0.001960	0.354032
0.748148	1.998360	0.020019	0.001975	0.353751
0.848714	1.964676	0.025024	0.001956	0.353680
0.545981	1.962186	0.030029	0.002013	0.353406
0.831004	1.909499	0.035034	0.001959	0.353405
0.740704	1.870537	0.040038	0.001976	0.353143
0.700818	1.854409	0.045043	0.001984	0.353033
0.695732	1.798451	0.050048	0.001985	0.352765
0.621708	1.757859	0.055053	0.001999	0.352509
0.747014	1.705773	0.060058	0.001975	0.352373
0.806769	1.630457	0.065062	0.001964	0.352069
0.842049	1.541440	0.070067	0.001957	0.351680
0.755121	1.482137	0.075072	0.001974	0.351323
0.764401	1.413178	0.080077	0.001972	0.351005
0.765508	1.323911	0.085082	0.001972	0.350583
0.617394	1.279307	0.090086	0.002000	0.350242
0.627278	1.210116	0.095091	0.001998	0.349922
0.651730	1.136706	0.100096	0.001993	0.349595
0.653406	1.054780	0.105101	0.001993	0.349207
0.662102	0.976833	0.110106	0.001991	0.348843
0.757991	0.870569	0.115110	0.001973	0.348421
0.592742	0.801891	0.120115	0.002005	0.347947
0.652143	0.707987	0.125120	0.001993	0.347551
0.559310	0.633406	0.130125	0.002011	0.347112
0.426190	0.579857	0.135130	0.002036	0.346738
0.582856	0.470798	0.140134	0.002007	0.346354
0.581788	0.384429	0.145139	0.002007	0.345938
0.405611	0.320220	0.150144	0.002040	0.345473
0.383153	0.259080	0.155149	0.002045	0.345159
0.485924	0.155306	0.160154	0.002025	0.344750
0.390220	0.071844	0.165158	0.002043	0.344262
0.241445	0.030785	0.170163	0.002071	0.343931
0.148739	-0.009806	0.175168	0.002089	0.343652
0.032949	-0.049961	0.180173	0.002111	0.343355
0.124121	-0.108011	0.185178	0.002094	0.343155
0.066099	-0.152531	0.190182	0.002105	0.342888
-0.860958	0.002305	0.195187	0.002280	0.342809
-1.086210	0.175465	0.200192	0.002322	0.343447
-0.650073	0.176219	0.205197	0.002240	0.343840
-0.489706	0.174644	0.210202	0.002210	0.343975
-0.510798	0.179411	0.215206	0.002214	0.343979
-0.319780	0.143688	0.220211	0.002177	0.343977
-0.452698	0.168815	0.225216	0.002203	0.343980
-0.359050	0.149934	0.230221	0.002185	0.343972
-0.463660	0.169600	0.235226	0.002205	0.343974
-0.660817	0.207232	0.240230	0.002242	0.343980
-0.371580	0.154213	0.245235	0.002187	0.343982
-0.480789	0.122997	0.250240	0.002208	0.343734
-0.512030	0.114954	0.255245	0.002214	0.343667
-0.404926	0.095318	0.260250	0.002193	0.343668
-0.560802	0.089572	0.265254	0.002223	0.343501
-0.544226	0.055242	0.270259	0.002220	0.343349
-0.373658	0.000142	0.275264	0.002188	0.343235
-0.623451	0.002001	0.280269	0.002235	0.343021
-0.848778	0.044209	0.285274	0.002277	0.343024
-0.885146	0.050865	0.290278	0.002284	0.343024
-0.766466	0.027821	0.295283	0.002262	0.343018
-0.822876	0.038545	0.300288	0.002272	0.343020
-0.762443	0.027572	0.305293	0.002261	0.343021
-0.728409	0.021436	0.310298	0.002255	0.343021
-0.818844	0.025285	0.315302	0.002272	0.342959
-0.995974	0.024079	0.320307	0.002305	0.342795
-0.848261	0.041714	0.325312	0.002277	0.343013
-0.975400	0.002824	0.330317	0.002301	0.342710
-1.066633	0.022158	0.335322	0.002319	0.342723
-0.970394	0.005905	0.340326	0.002300	0.342730
-1.034034	0.015051	0.345331	0.002312	0.342717
-1.086386	0.023872	0.350336	0.002322	0.342713
-1.129599	0.032721	0.355341	0.002330	0.342718
-1.078537	0.023544	0.360346	0.002321	0.342719
-1.033442	0.014334	0.365350	0.002312	0.342715
-1.119504	0.030445	0.370355	0.002328	0.342716
-1.085838	0.012093	0.375360	0.002322	0.342657
-1.203372	-0.001578	0.380365	0.002344	0.342485
-1.318880	0.055424	0.385370	0.002366	0.342659
-1.129297	-0.024078	0.390374	0.002330	0.342443
-1.474947	0.040352	0.395379	0.002396	0.342446
-1.167725	0.028129	0.400384	0.002338	0.342662
-1.488454	0.033754	0.405389	0.002398	0.342402
-1.108943	-0.015199	0.410394	0.002326	0.342504
-1.414166	0.019564	0.415398	0.002384	0.342399
-1.303479	-0.003295	0.420403	0.002363	0.342388
-1.473689	0.029230	0.425408	0.002395	0.342393
-1.550938	0.043252	0.430413	0.002410	0.342392
-1.503878	0.034809	0.435418	0.002401	0.342393
-1.474935	0.029159	0.440422	0.002396	0.342392
-1.523812	0.037991	0.445427	0.002405	0.342391
-1.672788	0.020309	0.450432	0.002433	0.342172
-1.507688	0.035709	0.455437	0.002402	0.342394
-1.702539	0.017944	0.460442	0.002439	0.342134
-1.499867	0.023715	0.465446	0.002400	0.342343
-1.781440	0.022930	0.470451	0.002453	0.342087
-1.536886	0.016014	0.475456	0.002407	0.342273
-1.982292	0.074434	0.480461	0.002491	0.342157
-1.480440	-0.008391	0.485466	0.002397	0.342205
-1.757696	0.019396	0.490470	0.002449	0.342091
-1.596338	-0.037026	0.495475	0.002418	0.341962
-1.871662	0.028653	0.500480	0.002470	0.342034
-1.685429	-0.049549	0.505485	0.002435	0.341821
-1.987397	0.023796	0.510490	0.002492	0.341907
-1.986687	-0.004335	0.515494	0.002492	0.341771
-1.775062	0.013809	0.520499	0.002452	0.342049
-2.053560	0.007552	0.525504	0.002505	0.341769
-1.876255	-0.025239	0.530509	0.002471	0.341769
-2.091237	0.037797	0.535514	0.002512	0.341882
-2.031172	0.004180	0.540518	0.002501	0.341773
-1.994147	-0.002825	0.545523	0.002494	0.341772
-2.111271	0.017765	0.550528	0.002516	0.341767
-1.993419	-0.002913	0.555533	0.002493	0.341772
-2.128204	0.021032	0.560538	0.002519	0.341768
-2.025502	0.002808	0.565542	0.002499	0.341771
-2.171879	-0.015860	0.570547	0.002527	0.341549
