Fri May 20 15:33:00 2011

Number of Points = 8598
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.585130	2.126426	0.000000	0.003129	0.348419

0.565139	2.116251	0.005000	0.003132	0.348353
0.637820	2.088537	0.010000	0.003119	0.348285
0.689665	2.020296	0.015000	0.003109	0.348009
0.535018	2.001184	0.020000	0.003139	0.347785
0.484149	2.009009	0.025000	0.003148	0.347777
0.565638	1.923536	0.030000	0.003133	0.347445
0.525990	1.891864	0.035000	0.003141	0.347260
0.494475	1.862569	0.040000	0.003147	0.347095
0.502545	1.817875	0.045000	0.003146	0.346890
0.315623	1.794224	0.050000	0.003181	0.346616
0.424292	1.770931	0.055000	0.003161	0.346600
0.451532	1.690219	0.060000	0.003156	0.346242
0.494191	1.644222	0.065000	0.003148	0.346061
0.269364	1.627058	0.070000	0.003190	0.345783
0.359958	1.579105	0.075000	0.003173	0.345635
0.337768	1.543661	0.080000	0.003178	0.345447
0.359378	1.471638	0.085000	0.003174	0.345124
0.377411	1.419358	0.090000	0.003171	0.344892
0.307873	1.365084	0.095000	0.003184	0.344573
0.192284	1.335174	0.100000	0.003206	0.344329
0.195880	1.270506	0.105000	0.003206	0.344024
0.091517	1.208509	0.110000	0.003225	0.343637
-0.000034	1.194664	0.115000	0.003243	0.343490
-0.030374	1.187867	0.120000	0.003249	0.343431
0.081526	1.147045	0.125000	0.003228	0.343334
0.133409	1.083658	0.130000	0.003218	0.343077
-0.087456	1.080485	0.135000	0.003260	0.342867
-0.064827	1.065646	0.140000	0.003256	0.342816
-0.080822	1.007677	0.145000	0.003259	0.342524
-0.058329	0.979300	0.150000	0.003255	0.342408
-0.187420	0.978258	0.155000	0.003280	0.342289
-0.028771	0.902137	0.160000	0.003250	0.342064
-0.070620	0.863140	0.165000	0.003258	0.341840
-0.117114	0.813729	0.170000	0.003267	0.341562
-0.230621	0.784249	0.175000	0.003288	0.341320
-0.308082	0.765064	0.180000	0.003303	0.341159
-0.442568	0.777518	0.185000	0.003329	0.341099
-0.480647	0.784091	0.190000	0.003336	0.341096
-0.618161	0.809366	0.195000	0.003362	0.341095
-0.607579	0.807952	0.200000	0.003360	0.341097
-0.708562	0.827218	0.205000	0.003380	0.341099
-0.565660	0.800874	0.210000	0.003353	0.341099
-0.613819	0.809698	0.215000	0.003362	0.341098
-0.527940	0.794289	0.220000	0.003346	0.341099
-0.639018	0.773564	0.225000	0.003367	0.340901
-0.749871	0.770284	0.230000	0.003388	0.340786
-0.912699	0.819924	0.235000	0.003419	0.340880
-0.697848	0.804602	0.240000	0.003379	0.340996
-0.807780	0.781936	0.245000	0.003399	0.340789
-0.785067	0.777433	0.250000	0.003395	0.340787
-0.988735	0.846629	0.255000	0.003434	0.340938
-0.856020	0.848827	0.260000	0.003409	0.341065
-0.828832	0.826854	0.265000	0.003404	0.340983
-0.795057	0.779727	0.270000	0.003398	0.340786
-0.700055	0.746309	0.275000	0.003380	0.340710
-0.981326	0.759115	0.280000	0.003433	0.340521
-1.201923	0.828281	0.285000	0.003475	0.340657
-0.927999	0.799636	0.290000	0.003423	0.340762
-1.087425	0.830408	0.295000	0.003454	0.340767
-0.769764	0.742802	0.300000	0.003394	0.340628
-0.784113	0.689717	0.305000	0.003397	0.340360
-1.085588	0.707206	0.310000	0.003454	0.340176
-1.351897	0.755722	0.315000	0.003504	0.340172
-1.311072	0.797229	0.320000	0.003497	0.340407
-1.053573	0.734931	0.325000	0.003448	0.340335
-1.287910	0.744421	0.330000	0.003493	0.340172
-1.318889	0.749389	0.335000	0.003499	0.340168
-1.298632	0.746968	0.340000	0.003495	0.340174
-1.246093	0.791169	0.345000	0.003485	0.340432
-1.303007	0.747373	0.350000	0.003496	0.340171
-1.356331	0.757269	0.355000	0.003506	0.340170
-1.310280	0.749166	0.360000	0.003498	0.340171
-1.298806	0.747078	0.365000	0.003496	0.340171
-1.379253	0.762841	0.370000	0.003511	0.340175
-1.404157	0.728471	0.375000	0.003516	0.339987
-1.553734	0.744354	0.380000	0.003544	0.339930
-1.573979	0.798397	0.385000	0.003548	0.340171
-1.400013	0.754234	0.390000	0.003516	0.340112
-1.495634	0.733981	0.395000	0.003534	0.339929
-1.639950	0.761378	0.400000	0.003561	0.339932
-1.604249	0.753849	0.405000	0.003555	0.339927
-1.748360	0.781439	0.410000	0.003582	0.339931
-1.687236	0.816725	0.415000	0.003571	0.340155
-1.478058	0.737725	0.420000	0.003531	0.339960
-1.644340	0.762591	0.425000	0.003563	0.339931
-1.713663	0.775420	0.430000	0.003576	0.339931
-1.652027	0.762318	0.435000	0.003564	0.339922
-1.734001	0.716793	0.440000	0.003580	0.339629
-1.899397	0.778231	0.445000	0.003612	0.339777
-1.724258	0.742393	0.450000	0.003579	0.339760
-1.929350	0.748825	0.455000	0.003617	0.339608
-2.014908	0.822565	0.460000	0.003634	0.339886
-1.778561	0.773271	0.465000	0.003589	0.339858
-1.933389	0.747295	0.470000	0.003619	0.339595
-1.935919	0.748510	0.475000	0.003619	0.339598
-2.093352	0.777873	0.480000	0.003649	0.339599
-1.978189	0.817436	0.485000	0.003628	0.339891
-2.003301	0.761763	0.490000	0.003632	0.339600
-1.897105	0.741966	0.495000	0.003613	0.339598
-1.931207	0.748980	0.500000	0.003619	0.339601
-2.018713	0.714752	0.505000	0.003636	0.339358
-2.216345	0.774478	0.510000	0.003673	0.339469
-2.196463	0.750216	0.515000	0.003670	0.339369
-2.116231	0.766004	0.520000	0.003655	0.339516
-2.181295	0.737280	0.525000	0.003667	0.339319
-2.303545	0.759533	0.530000	0.003690	0.339317
-2.228948	0.745083	0.535000	0.003676	0.339313
-2.051304	0.712573	0.540000	0.003643	0.339314
-2.347696	0.768223	0.545000	0.003699	0.339317
-2.384080	0.775241	0.550000	0.003706	0.339318
-2.209363	0.742773	0.555000	0.003673	0.339317
-2.534307	0.770061	0.560000	0.003735	0.339158
-2.325313	0.764874	0.565000	0.003695	0.339319
-2.395836	0.772382	0.570000	0.003709	0.339291
-2.568562	0.713797	0.575000	0.003742	0.338855
-2.683580	0.831334	0.580000	0.003764	0.339318
-2.290150	0.758012	0.585000	0.003689	0.339314
-2.412847	0.697091	0.590000	0.003713	0.338911
-2.818020	0.823396	0.595000	0.003789	0.339158
-2.396213	0.775137	0.600000	0.003710	0.339300
-2.608141	0.711714	0.605000	0.003750	0.338805
-2.765571	0.814969	0.610000	0.003780	0.339163
-2.520916	0.725374	0.615000	0.003734	0.338948
-2.906073	0.830096	0.620000	0.003807	0.339109
-2.338388	0.711752	0.625000	0.003700	0.339043
-2.697664	0.729180	0.630000	0.003768	0.338807
-2.724432	0.734118	0.635000	0.003773	0.338806
-2.849237	0.756946	0.640000	0.003797	0.338804
-2.795076	0.746875	0.645000	0.003787	0.338803
-2.968499	0.779630	0.650000	0.003819	0.338806
-2.716298	0.732805	0.655000	0.003772	0.338804
-2.821770	0.752371	0.660000	0.003792	0.338804
-2.951452	0.772504	0.665000	0.003817	0.338785
-2.847625	0.739036	0.670000	0.003797	0.338715
-3.042856	0.750406	0.675000	0.003834	0.338596
-2.903115	0.757901	0.680000	0.003808	0.338756
-2.851878	0.713428	0.685000	0.003798	0.338586
-3.100081	0.759384	0.690000	0.003845	0.338586
-3.169992	0.771760	0.695000	0.003859	0.338583
-3.131201	0.764551	0.700000	0.003852	0.338582
-3.071597	0.754417	0.705000	0.003840	0.338585
-3.121281	0.762765	0.710000	0.003850	0.338581
-3.146188	0.767522	0.715000	0.003855	0.338581
-3.063667	0.752989	0.720000	0.003839	0.338584
-2.964167	0.712838	0.725000	0.003821	0.338478
-3.298453	0.734193	0.730000	0.003884	0.338282
-3.424146	0.779502	0.735000	0.003908	0.338388
-3.182619	0.773859	0.740000	0.003862	0.338576
-3.098773	0.697552	0.745000	0.003847	0.338281
-3.356442	0.744891	0.750000	0.003896	0.338280
-3.311402	0.736221	0.755000	0.003887	0.338277
-3.481036	0.767525	0.760000	0.003919	0.338276
-3.408257	0.754043	0.765000	0.003906	0.338276
-3.448325	0.762938	0.770000	0.003914	0.338282
-3.484145	0.769960	0.775000	0.003920	0.338283
-3.350855	0.745470	0.780000	0.003895	0.338283
-3.408673	0.710426	0.785000	0.003906	0.338062
-3.650274	0.775940	0.790000	0.003952	0.338162
