Fri May 20 15:19:59 2011

Number of Points = 8599
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.363793	2.145611	0.000000	0.003379	0.347334

0.230923	2.228442	0.005000	0.003404	0.347607
0.330812	2.238460	0.010000	0.003385	0.347740
0.381042	2.229491	0.015000	0.003376	0.347741
0.396944	2.211452	0.020000	0.003373	0.347669
0.293669	2.193092	0.025000	0.003393	0.347493
0.387335	2.170439	0.030000	0.003375	0.347467
0.305735	2.171299	0.035000	0.003391	0.347399
0.211476	2.189183	0.040000	0.003409	0.347401
0.298505	2.172843	0.045000	0.003393	0.347398
0.361074	2.135991	0.050000	0.003381	0.347279
0.386012	2.105208	0.055000	0.003376	0.347155
0.325018	2.079073	0.060000	0.003388	0.346978
0.323865	2.049493	0.065000	0.003389	0.346837
0.247921	2.019027	0.070000	0.003403	0.346626
0.347718	1.982536	0.075000	0.003384	0.346540
0.243412	1.928509	0.080000	0.003404	0.346193
0.350852	1.882051	0.085000	0.003384	0.346067
0.055827	1.916562	0.090000	0.003440	0.345972
0.324283	1.831129	0.095000	0.003390	0.345802
0.267096	1.787792	0.100000	0.003401	0.345546
0.222524	1.729499	0.105000	0.003409	0.345230
0.048325	1.723352	0.110000	0.003442	0.345048
0.195485	1.655690	0.115000	0.003415	0.344855
0.156659	1.619840	0.120000	0.003422	0.344651
0.074203	1.573265	0.125000	0.003438	0.344357
-0.148537	1.579456	0.130000	0.003480	0.344190
-0.136871	1.577306	0.135000	0.003478	0.344189
-0.006959	1.472787	0.140000	0.003454	0.343806
-0.051413	1.435490	0.145000	0.003462	0.343589
-0.120537	1.403345	0.150000	0.003476	0.343374
-0.094967	1.377236	0.155000	0.003471	0.343272
-0.132729	1.342768	0.160000	0.003478	0.343073
-0.134517	1.299508	0.165000	0.003479	0.342865
-0.091605	1.246658	0.170000	0.003471	0.342650
-0.156276	1.205119	0.175000	0.003483	0.342394
-0.277991	1.194603	0.180000	0.003507	0.342235
-0.137045	1.132974	0.185000	0.003480	0.342065
-0.235283	1.082136	0.190000	0.003499	0.341734
-0.375137	1.087063	0.195000	0.003525	0.341633
-0.273557	1.021976	0.200000	0.003506	0.341411
-0.309063	0.971441	0.205000	0.003513	0.341136
-0.315438	0.948531	0.210000	0.003515	0.341020
-0.217900	0.862325	0.215000	0.003496	0.340692
-0.375375	0.844173	0.220000	0.003526	0.340465
-0.381237	0.782094	0.225000	0.003528	0.340161
-0.587101	0.790906	0.230000	0.003567	0.340020
-0.483027	0.742178	0.235000	0.003547	0.339877
-0.447942	0.679886	0.240000	0.003541	0.339608
-0.583271	0.665892	0.245000	0.003567	0.339419
-0.676477	0.649797	0.250000	0.003584	0.339258
-0.571250	0.590853	0.255000	0.003565	0.339067
-0.726732	0.554209	0.260000	0.003594	0.338751
-0.694957	0.537766	0.265000	0.003589	0.338699
-0.770889	0.517912	0.270000	0.003603	0.338535
-0.812905	0.500025	0.275000	0.003611	0.338410
-1.018624	0.501778	0.280000	0.003650	0.338234
-0.922400	0.489913	0.285000	0.003632	0.338262
-0.941110	0.487994	0.290000	0.003636	0.338235
-0.975964	0.493795	0.295000	0.003643	0.338231
-0.913141	0.474318	0.300000	0.003631	0.338192
-0.924811	0.431528	0.305000	0.003633	0.337974
-0.969001	0.439359	0.310000	0.003642	0.337972
-1.070730	0.392813	0.315000	0.003661	0.337655
-1.226393	0.415812	0.320000	0.003691	0.337627
-1.252819	0.441010	0.325000	0.003696	0.337724
-1.265824	0.424632	0.330000	0.003699	0.337632
-1.304648	0.498862	0.335000	0.003706	0.337956
-1.091681	0.415747	0.340000	0.003666	0.337743
-1.232345	0.418740	0.345000	0.003693	0.337632
-1.317397	0.434356	0.350000	0.003709	0.337630
-1.339658	0.438542	0.355000	0.003713	0.337630
-1.294509	0.430952	0.360000	0.003705	0.337633
-1.324696	0.414194	0.365000	0.003711	0.337524
-1.383130	0.398284	0.370000	0.003722	0.337394
-1.614208	0.444964	0.375000	0.003766	0.337413
-1.473717	0.462993	0.380000	0.003740	0.337625
-1.383139	0.411024	0.385000	0.003723	0.337453
-1.559313	0.432086	0.390000	0.003756	0.337397
-1.606753	0.440410	0.395000	0.003765	0.337394
-1.715790	0.481120	0.400000	0.003786	0.337493
-1.483049	0.443347	0.405000	0.003742	0.337517
-1.519492	0.424510	0.410000	0.003749	0.337393
-1.536347	0.427928	0.415000	0.003753	0.337393
-1.621243	0.399676	0.420000	0.003769	0.337180
-1.682714	0.439081	0.425000	0.003781	0.337315
-1.848431	0.438487	0.430000	0.003812	0.337163
-1.706094	0.460527	0.435000	0.003785	0.337397
-1.689348	0.405957	0.440000	0.003782	0.337146
-1.989576	0.457419	0.445000	0.003839	0.337126
-1.683337	0.448589	0.450000	0.003782	0.337357
-1.929566	0.433947	0.455000	0.003828	0.337065
-1.910046	0.468608	0.460000	0.003825	0.337249
-1.694323	0.399196	0.465000	0.003784	0.337105
-1.930530	0.435575	0.470000	0.003829	0.337069
-1.916650	0.433977	0.475000	0.003826	0.337073
-1.943490	0.438752	0.480000	0.003832	0.337072
-1.909602	0.429731	0.485000	0.003825	0.337057
-2.072160	0.405193	0.490000	0.003856	0.336792
-2.140625	0.470647	0.495000	0.003869	0.337047
-1.990492	0.429094	0.500000	0.003841	0.336980
-2.175513	0.460504	0.505000	0.003876	0.336965
-2.023313	0.409567	0.510000	0.003848	0.336854
-2.279242	0.474016	0.515000	0.003896	0.336937
-2.018127	0.405233	0.520000	0.003847	0.336836
-2.174218	0.424604	0.525000	0.003877	0.336789
-2.231507	0.435852	0.530000	0.003888	0.336792
-2.131182	0.417207	0.535000	0.003869	0.336790
-2.115291	0.379722	0.540000	0.003866	0.336622
-2.539547	0.436718	0.545000	0.003947	0.336518
-2.126313	0.389587	0.550000	0.003869	0.336658
