Fri May 20 15:05:46 2011

Number of Points = 8600
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.187800	2.172307	0.000000	0.003160	0.348425

0.270947	2.161573	0.005000	0.003144	0.348446
0.246717	2.130678	0.010000	0.003149	0.348280
0.258078	2.128632	0.015000	0.003147	0.348279
0.251590	2.090604	0.020000	0.003148	0.348095
0.111733	2.091617	0.025000	0.003175	0.347978
0.286991	2.059502	0.030000	0.003142	0.347978
0.288610	2.014898	0.035000	0.003142	0.347769
0.011099	2.055258	0.040000	0.003194	0.347718
0.163139	2.013721	0.045000	0.003166	0.347653
-0.032183	1.990884	0.050000	0.003203	0.347376
0.038221	1.977263	0.055000	0.003189	0.347372
0.189396	1.931708	0.060000	0.003161	0.347289
0.041876	1.927883	0.065000	0.003189	0.347142
0.010149	1.920696	0.070000	0.003195	0.347080
0.005365	1.865823	0.075000	0.003196	0.346816
-0.040167	1.864363	0.080000	0.003205	0.346769
-0.073619	1.821583	0.085000	0.003211	0.346538
-0.129725	1.831305	0.090000	0.003222	0.346534
-0.147732	1.787507	0.095000	0.003226	0.346311
-0.055604	1.741068	0.100000	0.003209	0.346171
0.026287	1.692845	0.105000	0.003193	0.346014
-0.164960	1.696759	0.110000	0.003230	0.345865
0.177628	1.564071	0.115000	0.003165	0.345536
-0.047974	1.528123	0.120000	0.003208	0.345168
-0.007414	1.471081	0.125000	0.003200	0.344933
-0.073270	1.421270	0.130000	0.003213	0.344639
-0.162591	1.380266	0.135000	0.003230	0.344365
-0.160746	1.315030	0.140000	0.003230	0.344056
-0.226291	1.224632	0.145000	0.003242	0.343568
-0.296464	1.204956	0.150000	0.003256	0.343412
-0.267963	1.150564	0.155000	0.003251	0.343178
-0.280012	1.120452	0.160000	0.003253	0.343023
-0.277562	1.070228	0.165000	0.003253	0.342785
-0.565801	1.052704	0.170000	0.003307	0.342447
-0.410420	1.024672	0.175000	0.003278	0.342449
-0.340736	0.963239	0.180000	0.003265	0.342217
-0.406326	0.915176	0.185000	0.003278	0.341929
-0.431267	0.873429	0.190000	0.003283	0.341706
-0.449599	0.830550	0.195000	0.003286	0.341484
-0.590306	0.806881	0.200000	0.003313	0.341246
-0.531136	0.755024	0.205000	0.003302	0.341049
-0.574217	0.726639	0.210000	0.003310	0.340874
-0.481593	0.657341	0.215000	0.003293	0.340623
-0.690162	0.659053	0.220000	0.003332	0.340446
-0.625475	0.581470	0.225000	0.003320	0.340130
-0.624819	0.547918	0.230000	0.003320	0.339968
-0.633514	0.489513	0.235000	0.003322	0.339679
-0.688026	0.457630	0.240000	0.003333	0.339476
-0.812884	0.432679	0.245000	0.003356	0.339245
-0.887992	0.383028	0.250000	0.003371	0.338938
-0.811598	0.326829	0.255000	0.003357	0.338734
-0.881349	0.299194	0.260000	0.003370	0.338538
-0.959742	0.310302	0.265000	0.003385	0.338521
-1.018093	0.263087	0.270000	0.003396	0.338240
-0.987109	0.253546	0.275000	0.003390	0.338221
-0.938233	0.202810	0.280000	0.003381	0.338019
-1.237186	0.245441	0.285000	0.003438	0.337957
-1.036494	0.197912	0.290000	0.003400	0.337906
-1.132896	0.155267	0.295000	0.003418	0.337613
-1.071822	0.129011	0.300000	0.003407	0.337539
-1.038512	0.090144	0.305000	0.003401	0.337380
