time,disp,force,step,test
3.97437,2.47687e-10,2.852343e-06,0,0
3.97937,5.780340000000001e-10,3.961693e-06,0,0
3.98437,1.063623e-09,5.850042e-06,0,0
3.98937,1.6337120000000002e-09,8.135911e-06,0,0
3.99437,2.344546e-09,1.0574952e-05,0,0
3.99937,3.1596760000000004e-09,1.3080895e-05,0,0
4.00437,3.635583e-09,1.5678378999999998e-05,0,0
4.00937,4.425691e-09,1.8231982999999998e-05,0,0
4.01437,5.077567e-09,2.081494e-05,0,0
4.01937,5.583064000000001e-09,2.3378906e-05,0,0
4.02437,6.170367e-09,2.5995764e-05,0,0
4.02937,6.7465890000000005e-09,2.8544699999999998e-05,0,0
4.03437,7.289721000000001e-09,3.1121625e-05,0,0
4.03937,7.875011e-09,3.3646700000000004e-05,0,0
4.04437,8.462495e-09,3.6214168e-05,0,0
4.04937,8.933815e-09,3.8769004e-05,0,0
4.05437,9.314523e-09,4.1328913999999995e-05,0,0
4.05937,9.681301e-09,4.3862307e-05,0,0
4.06437,1.0215424000000002e-08,4.6386373e-05,0,0
4.06937,1.0655213e-08,4.8960156e-05,0,0
4.07437,1.1031990000000001e-08,5.1484720999999996e-05,0,0
4.07937,1.1444181000000001e-08,5.4025931e-05,0,0
4.08437,1.1875330000000001e-08,5.653982e-05,0,0
4.08937,1.2357232e-08,5.9075602999999995e-05,0,0
4.09437,1.2560637000000001e-08,6.1642174e-05,0,0
4.09937,1.3004417e-08,6.413175599999999e-05,0,0
4.10437,1.3299813000000002e-08,6.6684279e-05,0,0
4.10937,1.377613e-08,6.9179413e-05,0,0
4.11437,1.4062767e-08,7.173628499999999e-05,0,0
4.11937,1.4548395e-08,7.4265561e-05,0,0
4.12437,1.4725712e-08,7.6821755e-05,0,0
4.12937,1.5188656e-08,7.9312178e-05,0,0
4.13437,1.558938e-08,8.1831282e-05,0,0
4.13937,1.5883037e-08,8.4343757e-05,0,0
4.14437,1.6198191000000002e-08,8.6893299e-05,0,0
4.14937,1.6582645e-08,8.9408325e-05,0,0
4.15437,1.6766264e-08,9.1923325e-05,0,0
4.15937,1.7189499000000003e-08,9.443482899999999e-05,0,0
4.16437,1.7505680000000002e-08,9.6955729e-05,0,0
4.16937,1.7887543999999998e-08,9.943807099999999e-05,0,0
4.17437,1.8275681e-08,0.000102006596,0,0
4.17937,1.8633168000000003e-08,0.000104522721,0,0
4.18437,1.8931604e-08,0.000107025706,0,0
4.18937,1.9102070000000004e-08,0.00010956690099999999,0,0
4.19437,1.9634102e-08,0.000112036866,0,0
4.19937,1.985311e-08,0.00011457688599999999,0,0
4.20437,2.0071277e-08,0.000117096191,0,0
4.20937,2.0426561e-08,0.00011960216099999999,0,0
4.21437,2.0618285e-08,0.000122139186,0,0
4.21937,2.0983167000000004e-08,0.000124613774,0,0
4.22437,2.1281534000000002e-08,0.000127153893,0,0
4.22937,2.1461607e-08,0.00012966311099999999,0,0
4.23437,2.1779341e-08,0.00013213638,0,0
4.23937,2.2279025000000002e-08,0.000134703541,0,0
4.24437,2.2437529000000004e-08,0.000137217909,0,0
