Wed Jun 29 17:13:40 2011

Number of Points = 8597
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.597095	2.154081	0.000000	0.002215	0.357762

0.754266	2.136790	0.005000	0.002186	0.357816
0.646293	2.103817	0.010000	0.002206	0.357568
0.676852	2.096547	0.015000	0.002200	0.357560
0.715471	2.089505	0.020000	0.002193	0.357560
0.694737	2.067855	0.025000	0.002197	0.357440
0.623932	2.033761	0.030000	0.002211	0.357218
0.864196	1.966484	0.035000	0.002165	0.357110
0.589989	1.989017	0.040000	0.002217	0.356978
0.680539	1.925377	0.045000	0.002200	0.356756
0.562035	1.926237	0.050000	0.002223	0.356657
0.634038	1.878696	0.055000	0.002209	0.356496
0.495314	1.879785	0.060000	0.002235	0.356380
0.458297	1.878576	0.065000	0.002242	0.356342
0.551103	1.792905	0.070000	0.002225	0.356018
0.618779	1.753717	0.075000	0.002212	0.355892
0.372965	1.778498	0.080000	0.002259	0.355795
0.434901	1.730218	0.085000	0.002247	0.355620
0.324145	1.721852	0.090000	0.002268	0.355484
0.420583	1.674890	0.095000	0.002250	0.355346
0.342832	1.663293	0.100000	0.002264	0.355223
0.486492	1.599626	0.105000	0.002237	0.355047
0.337579	1.578014	0.110000	0.002266	0.354814
0.356664	1.535383	0.115000	0.002262	0.354629
0.352464	1.480633	0.120000	0.002263	0.354365
0.285102	1.465186	0.125000	0.002276	0.354233
0.308762	1.414164	0.130000	0.002271	0.354011
0.373160	1.270968	0.135000	0.002259	0.353387
0.157322	1.264545	0.140000	0.002300	0.353167
0.233225	1.233257	0.145000	0.002286	0.353084
0.199404	1.188048	0.150000	0.002292	0.352839
0.258959	1.127792	0.155000	0.002281	0.352604
0.297990	1.055079	0.160000	0.002274	0.352292
0.319915	0.983893	0.165000	0.002270	0.351971
0.250768	0.924016	0.170000	0.002283	0.351624
0.141875	0.878924	0.175000	0.002303	0.351312
0.033927	0.841685	0.180000	0.002324	0.351038
-0.029882	0.816572	0.185000	0.002336	0.350861
0.113658	0.749970	0.190000	0.002309	0.350669
-0.012315	0.724251	0.195000	0.002333	0.350434
-0.066665	0.693273	0.200000	0.002343	0.350237
-0.003693	0.613814	0.205000	0.002331	0.349911
-0.024065	0.573280	0.210000	0.002335	0.349698
-0.260851	0.588581	0.215000	0.002380	0.349561
-0.217235	0.530828	0.220000	0.002372	0.349322
-0.193070	0.483675	0.225000	0.002367	0.349116
-0.152643	0.439010	0.230000	0.002360	0.348937
-0.360283	0.411947	0.235000	0.002399	0.348622
-0.295390	0.372730	0.240000	0.002387	0.348490
-0.225993	0.331074	0.245000	0.002374	0.348351
-0.473497	0.324910	0.250000	0.002421	0.348100
-0.287577	0.273540	0.255000	0.002385	0.348018
-0.352373	0.245537	0.260000	0.002398	0.347824
-0.391932	0.184863	0.265000	0.002405	0.347496
-0.399225	0.151332	0.270000	0.002407	0.347327
-0.421929	0.124007	0.275000	0.002411	0.347174
-0.429789	0.073209	0.280000	0.002413	0.346921
