Wed Jun 29 17:00:24 2011

Number of Points = 8600
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.135290	2.149254	0.000000	0.002208	0.357739

0.122318	2.163890	0.005000	0.002211	0.357796
0.224865	2.135744	0.010000	0.002192	0.357753
0.392128	2.064934	0.015000	0.002160	0.357565
0.354067	2.040814	0.020000	0.002167	0.357418
0.306872	2.002922	0.025000	0.002176	0.357198
0.267433	1.965227	0.030000	0.002184	0.356987
0.285643	1.931532	0.035000	0.002180	0.356844
0.162986	1.912023	0.040000	0.002204	0.356645
0.203726	1.869654	0.045000	0.002196	0.356480
0.047686	1.873221	0.050000	0.002225	0.356361
0.205402	1.808622	0.055000	0.002196	0.356193
0.105180	1.787077	0.060000	0.002215	0.356004
0.061315	1.752964	0.065000	0.002223	0.355805
0.106501	1.724185	0.070000	0.002215	0.355708
-0.049762	1.701690	0.075000	0.002244	0.355465
0.095392	1.648056	0.080000	0.002217	0.355338
-0.039771	1.643825	0.085000	0.002242	0.355200
-0.026885	1.610489	0.090000	0.002240	0.355053
-0.093534	1.579877	0.095000	0.002253	0.354850
-0.055270	1.535097	0.100000	0.002246	0.354671
-0.005008	1.485194	0.105000	0.002236	0.354478
-0.020700	1.432582	0.110000	0.002239	0.354214
-0.052919	1.371341	0.115000	0.002245	0.353895
-0.165317	1.276956	0.120000	0.002267	0.353348
-0.157233	1.252429	0.125000	0.002265	0.353238
-0.307035	1.258451	0.130000	0.002294	0.353135
-0.177002	1.185523	0.135000	0.002269	0.352902
-0.201364	1.159787	0.140000	0.002274	0.352757
-0.355863	1.144986	0.145000	0.002303	0.352551
-0.460961	1.115907	0.150000	0.002323	0.352319
-0.314329	1.068817	0.155000	0.002295	0.352224
-0.339031	1.031243	0.160000	0.002300	0.352022
-0.397915	1.021907	0.165000	0.002311	0.351926
-0.451137	0.978677	0.170000	0.002321	0.351672
-0.323740	0.913638	0.175000	0.002297	0.351473
-0.306111	0.840583	0.180000	0.002294	0.351139
-0.331694	0.788427	0.185000	0.002299	0.350866
-0.442695	0.759192	0.190000	0.002320	0.350628
-0.521492	0.725339	0.195000	0.002335	0.350396
-0.567325	0.698582	0.200000	0.002344	0.350226
-0.605405	0.646402	0.205000	0.002351	0.349942
-0.615034	0.628931	0.210000	0.002353	0.349849
-0.539327	0.567949	0.215000	0.002339	0.349623
-0.679997	0.528353	0.220000	0.002365	0.349308
-0.798836	0.545539	0.225000	0.002388	0.349285
-0.725987	0.481389	0.230000	0.002374	0.349040
-0.817402	0.493396	0.235000	0.002391	0.349017
-0.734159	0.396066	0.240000	0.002376	0.348621
-0.710314	0.356328	0.245000	0.002371	0.348451
-0.841127	0.352007	0.250000	0.002396	0.348313
